host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
GJ 581,GJ 581 e,2009,3.149,1.7,1.17,5.83,6.3,0.31,0.29
GJ 625,GJ 625 b,2017,14.628,2.82,1.49,4.68,6.49,0.3,0.31
GJ 649,GJ 649 b,2009,598.3,104.244,12.5,0.293,10.38,0.54,0.46
GJ 667 C,GJ 667 C b,2011,7.2004,5.6,2.23,2.77,6.8,0.33,
GJ 667 C,GJ 667 C c,2011,28.14,3.8,1.77,3.77,6.8,0.33,
GJ 667 C,GJ 667 C e,2013,62.24,2.7,1.45,4.87,6.8,0.33,
GJ 667 C,GJ 667 C f,2013,39.026,2.7,1.45,4.87,6.8,0.33,
GJ 667 C,GJ 667 C g,2013,256.2,4.6,1.99,3.21,6.8,0.33,
GJ 674,GJ 674 b,2007,4.6938,11.09,3.33,1.65,4.55,0.35,0.36
GJ 676 A,GJ 676 A b,2010,1056.80005,2129.461,12.7,5.71,16.03,0.73,0.69
GJ 676 A,GJ 676 A c,2016,7337,2161.244,12.7,5.8,16.03,0.73,0.69
GJ 676 A,GJ 676 A d,2012,3.6005,4.4,1.93,3.36,16.03,0.73,0.69
GJ 676 A,GJ 676 A e,2012,35.39,8.1,2.77,2.09,16.03,0.73,0.69
GJ 682,GJ 682 b,2014,17.478,4.4,1.93,3.36,5.01,0.27,0.34
GJ 682,GJ 682 c,2014,57.32,8.7,2.89,1.98,5.01,0.27,0.34
GJ 685,GJ 685 b,2019,24.16,9,2.95,1.93,14.32,0.55,0.54
GJ 687,GJ 687 b,2014,38.14,19.0698,4.59,1.08,4.55,0.45,0.43
GJ 832,GJ 832 b,2008,3657,216,14,0.433,4.97,0.45,0.45
GJ 832,GJ 832 c,2014,35.68,5.4,2.18,2.86,4.97,0.45,0.45
GJ 849,GJ 849 b,2006,1882,317.83,13.8,0.665,8.8,0.65,0.53
GJ 86,GJ 86 b,1999,15.76491,1404.8086,12.9,3.6,10.79,0.93,0.77
GJ 876,GJ 876 b,1998,61.1166,723.2235,13.3,1.69,4.68,0.32,0.3
GJ 876,GJ 876 c,2000,30.0881,226.9846,14,0.455,4.68,0.32,0.3
GJ 876,GJ 876 d,2005,1.93778,6.83,2.51,2.37,4.68,0.32,0.3
GJ 876,GJ 876 e,2010,124.26,14.6,3.92,1.33,4.68,0.32,0.3
GJ 96,GJ 96 b,2018,73.94,19.66,4.67,1.06,11.94,0.6,0.59
GJ 9827,GJ 9827 b,2017,1.2089819,4.91,1.577,6.93,29.69,0.61,0.6
GJ 9827,GJ 9827 c,2017,3.6480957,0.84,1.241,2.42,29.69,0.61,0.6
GJ 9827,GJ 9827 d,2017,6.2014698,4.04,2.022,2.69,29.69,0.61,0.6
GQ Lup,GQ Lup b,2004,,6356,33.6,0.921,151.82,0.7,1.83
GSC 06214-00210,GSC 06214-00210 b,2010,,5000,20.176,3.35,145,0.9,0.74
GU Psc,GU Psc b,2014,,3591.3,14.179,6.92,48,0.33,
Gl 378,Gl 378 b,2019,3.822,13.02,3.66,1.46,14.96,0.56,0.56
Gl 49,Gl 49 b,2019,13.8508,5.63,2.24,2.75,9.86,0.52,0.51
Gl 686,Gl 686 b,2018,15.5314,6.64,2.46,2.45,8.16,0.42,0.42
HAT-P-1,HAT-P-1 b,2006,4.46529976,166.86075,14.785,0.282,159.71,1.15,1.17
HAT-P-11,HAT-P-11 b,2008,4.88780244,26.69772,4.36,1.68,37.81,0.81,0.68
HAT-P-11,HAT-P-11 c,2018,3407,507,13.5,1.13,37.81,0.81,0.68
HAT-P-12,HAT-P-12 b,2009,3.2130598,67.059,10.749,0.3192,142.5,0.73,0.7
HAT-P-13,HAT-P-13 b,2009,2.91625,270.462,14.258,0.362,214,1.22,1.56
HAT-P-13,HAT-P-13 c,2009,446.27,4538.421,12.3,13.4,214,1.22,1.56
