host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
Kepler-1566,Kepler-1566 b,2016,0.53991524,0.418,0.79,4.66,511,0.84,0.81
Kepler-1567,Kepler-1567 b,2016,153.979578,7.9,2.73,2.13,1226,0.95,0.93
Kepler-1568,Kepler-1568 b,2016,20.925392,2.24,1.3,5.6,883,1.09,1.19
Kepler-1569,Kepler-1569 b,2016,5.79180156,3.46,1.68,4.01,1050,1.25,1.4
Kepler-157,Kepler-157 b,2014,1.732342,2.3,1.32,5.5,791.27,1.02,1.04
Kepler-157,Kepler-157 c,2014,13.5405,5.65,2.24,2.76,791.27,1.02,1.04
Kepler-157,Kepler-157 d,2016,7.02573474,2.73,1.46,4.82,791.27,1.02,1.04
Kepler-1570,Kepler-1570 b,2016,26.548955,1.24,1.07,5.56,463,0.92,0.89
Kepler-1571,Kepler-1571 b,2016,3.38555488,2.92,1.52,4.57,802,1.23,1.39
Kepler-1572,Kepler-1572 b,2016,5.49548621,0.779,0.94,5.15,600,0.97,0.95
Kepler-1573,Kepler-1573 b,2016,2.6157554,1.87,1.2,5.95,1180,1.01,1
Kepler-1574,Kepler-1574 b,2016,6.9424334,2.21,1.29,5.66,1275,1.06,1.08
Kepler-1575,Kepler-1575 b,2016,2.55314213,2.27,1.31,5.55,1170,0.95,0.92
Kepler-1576,Kepler-1576 b,2016,6.98471973,1.12,1.04,5.47,539,1.05,1.06
Kepler-1577,Kepler-1577 b,2016,6.30560247,1.51,1.13,5.75,543,0.78,0.74
Kepler-1578,Kepler-1578 b,2016,1.45088691,1.12,1.04,5.47,1016,0.9,0.86
Kepler-1579,Kepler-1579 b,2016,0.84990789,0.52,0.84,4.82,466,0.75,0.7
Kepler-158,Kepler-158 b,2014,16.709184,5.14,2.12,2.96,318.06,0.75,0.62
Kepler-158,Kepler-158 c,2014,28.551383,4.27,1.9,3.42,318.06,0.75,0.62
Kepler-1580,Kepler-1580 b,2016,56.6449279,5.1,2.11,2.98,872,1.47,2.15
Kepler-1581,Kepler-1581 b,2016,6.28385491,0.437,0.8,4.69,443,1.12,1.23
Kepler-1582,Kepler-1582 b,2016,4.83817712,2.83,1.49,4.7,112,0.28,0.3
Kepler-1583,Kepler-1583 b,2016,9.32807355,0.156,0.6,3.97,357,0.94,0.91
Kepler-1584,Kepler-1584 b,2016,13.3997099,3.22,1.61,4.24,1325,1.1,1.13
Kepler-1585,Kepler-1585 b,2016,3.5827463,3.86,1.79,3.7,1269,0.94,0.91
Kepler-1586,Kepler-1586 b,2016,15.6049212,2.92,1.52,4.57,864,1.45,1.75
Kepler-1587,Kepler-1587 b,2016,9.4060467,2.33,1.33,5.44,907,1.08,1.22
Kepler-1588,Kepler-1588 b,2016,7.84931739,0.363,0.76,4.54,658,0.96,0.99
Kepler-1589,Kepler-1589 b,2016,0.99166527,1.32,1.09,5.6,1418,1.18,1.25
Kepler-159,Kepler-159 b,2014,10.139623,6.26,2.38,2.55,377.79,0.76,0.66
Kepler-159,Kepler-159 c,2014,43.595792,11.5,3.41,1.59,377.79,0.76,0.66
Kepler-1590,Kepler-1590 b,2016,7.61760804,1.55,1.14,5.75,900,1.11,1.16
Kepler-1591,Kepler-1591 b,2016,8.18504949,2.15,1.27,5.77,1090,1.1,1.16
Kepler-1592,Kepler-1592 b,2016,3.05710069,2.99,1.54,4.5,1349,1.18,1.28
Kepler-1593,Kepler-1593 b,2016,174.509835,10.2,3.17,3.03,755,0.81,0.77
Kepler-1594,Kepler-1594 b,2016,2.71603809,1.2,1.06,5.54,1100,1.06,1.08
Kepler-1595,Kepler-1595 b,2016,4.56380468,2.04,1.23,6.02,841,0.84,0.8
Kepler-1596,Kepler-1596 b,2016,66.373379,4.27,1.9,3.42,1166,0.95,0.92
Kepler-1597,Kepler-1597 b,2016,2.94654179,1.2,1.06,5.54,1255,1.25,1.39
Kepler-1598,Kepler-1598 b,2016,4.34195123,0.809,0.95,5.18,734,1.07,1.09
Kepler-1599,Kepler-1599 b,2016,122.363553,3.26,1.62,4.21,1004,0.99,0.99
Kepler-16,Kepler-16 b,2011,228.776,105.833,8.449,0.964,75.25,0.69,0.65
Kepler-160,Kepler-160 b,2014,4.309427,2.99,1.54,4.5,962.92,0.97,0.88
Kepler-160,Kepler-160 c,2014,13.699087,12.7,3.61,1.48,962.92,0.97,0.88
Kepler-1600,Kepler-1600 b,2016,386.370548,9.96,3.13,1.78,992,0.86,0.82
Kepler-1601,Kepler-1601 b,2016,2.20921951,0.477,0.82,4.75,660,1.04,1.07
Kepler-1602,Kepler-1602 b,2016,11.17931605,2.36,1.34,5.39,815,1.22,1.36
Kepler-1603,Kepler-1603 b,2016,2.27163926,2.21,1.29,5.66,1751,1.21,1.31
Kepler-1604,Kepler-1604 b,2016,0.68368426,2.57,1.41,5.04,562,0.81,0.76
Kepler-1605,Kepler-1605 b,2016,85.7565495,1.28,1.08,5.58,224,0.86,0.82
Kepler-1606,Kepler-1606 b,2016,196.435224,4.94,2.07,1.67,880,0.9,0.86
Kepler-1607,Kepler-1607 b,2016,13.6473676,0.721,0.92,5.09,735,1.14,1.21
Kepler-1608,Kepler-1608 b,2016,16.4735686,3.64,1.73,3.86,832,0.75,0.72
Kepler-1609,Kepler-1609 b,2016,114.34219,5.56,2.22,2.79,1483,1.18,1.27
Kepler-161,Kepler-161 b,2014,4.921355,12.1,2.12,6.98,440.15,0.86,0.81
Kepler-161,Kepler-161 c,2014,7.06424,11.8,2.05,7.53,440.15,0.86,0.81
Kepler-1610,Kepler-1610 b,2016,8.70181574,3.22,1.61,4.24,1063,0.91,0.87
Kepler-1611,Kepler-1611 b,2016,5.1762429,0.457,0.81,4.73,686,0.94,0.93
Kepler-1612,Kepler-1612 b,2016,3.91795101,1.08,1.03,5.43,837,0.96,0.94
Kepler-1613,Kepler-1613 b,2016,1.5184299,4.98,2.08,3.04,855,1.08,1.12
Kepler-1614,Kepler-1614 b,2016,3.9466141,2.83,1.49,4.7,982,0.79,0.76
Kepler-1615,Kepler-1615 b,2016,47.3126192,4.9,2.06,3.08,940,1.04,1.05
Kepler-1616,Kepler-1616 b,2016,6.76284377,1.04,1.02,5.39,862,1.21,1.34
Kepler-1617,Kepler-1617 b,2016,27.4785572,1.87,1.2,5.95,813,1.15,1.22
Kepler-1618,Kepler-1618 b,2016,6.10826019,2.13,1.26,5.85,1238,1.41,1.65
Kepler-1619,Kepler-1619 b,2016,23.6225913,0.363,0.76,4.54,520,1,1
Kepler-162,Kepler-162 b,2014,6.919798,2.13,1.26,5.85,877.01,1.12,0.96
Kepler-162,Kepler-162 c,2014,19.446355,9.43,3.03,1.86,877.01,1.12,0.96
Kepler-1620,Kepler-1620 b,2016,101.951829,3.22,1.61,4.24,773,1.15,1.23
Kepler-1621,Kepler-1621 b,2016,92.263714,5.31,2.16,2.9,1461,1.15,1.24
Kepler-1622,Kepler-1622 b,2016,10.8118737,2.76,1.47,4.77,927,1.31,1.5
Kepler-1623,Kepler-1623 b,2016,4.36128348,2.27,1.31,5.55,986,1,1
Kepler-1624,Kepler-1624 b,2016,3.29030452,27.6,5.7,0.819,199,0.5,0.47
Kepler-1625,Kepler-1625 b,2016,287.378949,30.6,6.06,0.756,1213,0.96,0.94
Kepler-1626,Kepler-1626 b,2016,4.13962966,4.74,2.02,3.16,1718,1.51,1.85
Kepler-1627,Kepler-1627 b,2016,7.20283653,13.2,3.69,1.44,311,0.87,0.84
Kepler-1628,Kepler-1628 b,2016,76.378033,33.8,6.43,0.699,352,0.55,0.52
Kepler-1629,Kepler-1629 b,2016,3.87595807,0.381,0.77,4.59,390,1.01,1.01
Kepler-163,Kepler-163 b,2014,7.810937,1.16,1.05,5.51,703.69,0.98,0.92
Kepler-163,Kepler-163 c,2014,21.347262,5.73,2.26,2.73,703.69,0.98,0.92
Kepler-1630,Kepler-1630 b,2016,509.997402,5.43,2.19,2.84,278,0.66,0.63
Kepler-1631,Kepler-1631 b,2016,4.09513932,2.39,1.35,5.34,1190,0.97,0.95
Kepler-1632,Kepler-1632 b,2016,448.303558,6.66,2.47,2.43,584,1.12,1.19
Kepler-1633,Kepler-1633 b,2016,186.404271,3.12,1.58,4.35,811,1.2,1.32
Kepler-1634,Kepler-1634 b,2016,374.876239,10.3,3.19,1.74,654,0.92,0.89
Kepler-1635,Kepler-1635 b,2016,469.63111,12.9,3.64,1.47,1084,0.89,0.85
Kepler-1636,Kepler-1636 b,2016,425.47785,10.5,3.23,1.71,1567,1.01,1.02
Kepler-1637,Kepler-1637 b,2016,6.10960324,0.64,0.89,4.99,506,1.02,1.02
Kepler-1638,Kepler-1638 b,2016,259.33683,4.16,1.87,0.56,879,0.97,0.95
Kepler-1639,Kepler-1639 b,2016,9.878482,7.18,2.58,2.3,1168,1.12,1.18
Kepler-164,Kepler-164 b,2014,5.03503,2.57,1.41,5.04,914.18,1.09,1.15
Kepler-164,Kepler-164 c,2014,10.945723,7.9,2.73,2.13,914.18,1.09,1.15
Kepler-164,Kepler-164 d,2014,28.986769,6.57,2.45,2.45,914.18,1.09,1.15
Kepler-1640,Kepler-1640 b,2016,7.5844126,20.7,4.82,1.02,1379,1.27,1.43
Kepler-1641,Kepler-1641 b,2016,19.672266,9.85,3.11,1.8,961,1.12,1.19
Kepler-1641,Kepler-1641 c,2016,32.657212,9.01,2.95,1.93,961,1.12,1.19
Kepler-1642,Kepler-1642 b,2016,12.2057513,10.3,3.2,1.73,447,0.88,0.84
Kepler-1642,Kepler-1642 c,2016,6.6513802,7.56,2.66,2.21,447,0.88,0.84
Kepler-1643,Kepler-1643 b,2016,5.34264507,5.9,2.3,2.66,414,0.92,0.88
Kepler-1644,Kepler-1644 b,2016,21.0907758,4.19,1.88,3.47,592,0.89,0.86
Kepler-1645,Kepler-1645 b,2016,16.1779561,3.82,1.78,3.72,844,1.02,1.02
Kepler-1646,Kepler-1646 b,2016,4.48558383,2.04,1.23,6.02,81,0.24,0.26
Kepler-1647,Kepler-1647 b,2016,1107.5923,483,11.874,1.59,1256,1.22,1.79
Kepler-1649,Kepler-1649 b,2017,8.68909,1.28,1.08,5.58,92.43,0.22,0.25
Kepler-165,Kepler-165 b,2014,8.180848,5.99,2.32,2.64,570.07,0.8,0.77
Kepler-165,Kepler-165 c,2014,15.31299,5.6,2.23,2.77,570.07,0.8,0.77
Kepler-1650,Kepler-1650 b,2017,1.53818001,0.84,0.96,5.22,120.5,0.33,0.33
Kepler-1651,Kepler-1651 b,2017,9.87863917,4.04,1.84,3.56,69.4,0.52,0.5
Kepler-1652,Kepler-1652 b,2017,38.09722,3.19,1.6,9.9,252,0.4,0.38
Kepler-1653,Kepler-1653 b,2017,140.2524,5.35,2.17,3.08,755,0.72,0.69
Kepler-1654,Kepler-1654 b,2018,1047.8356,158.915,9.18,1.2,577.6,1.01,1.18
Kepler-1655,Kepler-1655 b,2018,11.8728787,5,2.213,2.5,214.58,1.03,1.03
Kepler-1656,Kepler-1656 b,2018,31.578659,48.6,5.02,2.13,186.88,1.03,1.1
Kepler-1658,Kepler-1658 b,2019,3.84937278,1868.8404,11.994,6.36,806.07,1.45,2.89
Kepler-166,Kepler-166 b,2014,7.650254,5.77,2.27,2.71,614.16,0.88,0.74
Kepler-166,Kepler-166 c,2014,34.260281,6.26,2.38,2.55,614.16,0.88,0.74
Kepler-166,Kepler-166 d,2016,1.55400393,3.64,1.73,3.86,614.16,0.88,0.74
Kepler-167,Kepler-167 b,2014,4.3931632,3.24,1.615,4.23,330,0.77,0.73
Kepler-167,Kepler-167 c,2014,7.406114,3.01,1.548,4.46,330,0.77,0.73
Kepler-167,Kepler-167 d,2016,21.803855,1.83,1.194,5.91,330,0.77,0.73
Kepler-167,Kepler-167 e,2016,1071.23228,73.4,10.15,0.386,330,0.77,0.73
Kepler-168,Kepler-168 b,2014,4.425391,2.73,1.46,4.82,1396,1.3,1.11
Kepler-168,Kepler-168 c,2014,13.193242,7.7,2.69,2.17,1396,1.3,1.11
Kepler-169,Kepler-169 b,2014,3.250619,1.51,1.13,5.75,411.34,0.84,0.76
Kepler-169,Kepler-169 c,2014,6.195469,1.92,1.21,5.96,411.34,0.84,0.76
Kepler-169,Kepler-169 d,2014,8.348125,2.1,1.25,5.91,411.34,0.84,0.76
Kepler-169,Kepler-169 e,2014,13.767102,5.48,2.2,2.83,411.34,0.84,0.76
Kepler-169,Kepler-169 f,2014,87.090195,7.18,2.58,2.3,411.34,0.84,0.76
Kepler-17,Kepler-17 b,2011,1.4857108,778.65,14.68,1.35,800,1.16,1.05
Kepler-170,Kepler-170 b,2014,7.930592,82.6,3.2,13.9,754.64,1.03,1.03
Kepler-170,Kepler-170 c,2014,16.665863,8.55,2.86,2.01,754.64,1.03,1.03
Kepler-171,Kepler-171 b,2014,4.166972,6.08,2.34,2.61,885.43,1.07,0.84
Kepler-171,Kepler-171 c,2014,11.463462,7.08,2.56,2.32,885.43,1.07,0.84
Kepler-171,Kepler-171 d,2014,39.595519,4.23,1.89,3.44,885.43,1.07,0.84
Kepler-172,Kepler-172 b,2014,2.940309,6.12,2.35,2.59,848.56,1,1.08
Kepler-172,Kepler-172 c,2014,6.388996,8.55,2.86,2.01,848.56,1,1.08
Kepler-172,Kepler-172 d,2014,14.627119,5.69,2.25,2.74,848.56,1,1.08
Kepler-172,Kepler-172 e,2014,35.118736,8.05,2.76,2.1,848.56,1,1.08
Kepler-173,Kepler-173 b,2014,4.263742,2.21,1.29,5.66,853.39,1.04,0.95
Kepler-173,Kepler-173 c,2014,8.005777,6.48,2.43,2.48,853.39,1.04,0.95
Kepler-174,Kepler-174 b,2014,13.98179,4.5,1.96,3.28,389.07,0.71,0.62
Kepler-174,Kepler-174 c,2014,44.000529,2.83,1.49,4.7,389.07,0.71,0.62
Kepler-174,Kepler-174 d,2014,247.35373,5.43,2.19,2.84,389.07,0.71,0.62
Kepler-175,Kepler-175 b,2014,11.903515,7.08,2.56,2.32,1363.39,1.12,1.01
Kepler-175,Kepler-175 c,2014,34.035257,9.8,3.1,1.81,1363.39,1.12,1.01
Kepler-176,Kepler-176 b,2014,5.433074,2.63,1.43,4.94,535.4,0.87,0.89
Kepler-176,Kepler-176 c,2014,12.759712,23,2.6,7.19,535.4,0.87,0.89
Kepler-176,Kepler-176 d,2014,25.751974,15.2,2.51,5.28,535.4,0.87,0.89
Kepler-176,Kepler-176 e,2016,51.16579,2.7,1.45,4.87,535.4,0.87,0.89
Kepler-177,Kepler-177 b,2013,36.855,2,2.9,1,1497.42,1,1.05
Kepler-177,Kepler-177 c,2013,49.412,7.5,7.1,0.2,1497.42,1,1.05
Kepler-178,Kepler-178 b,2014,9.576694,8.75,2.9,1.97,731.04,0.94,1.07
Kepler-178,Kepler-178 c,2014,20.552802,8.65,2.88,1.99,731.04,0.94,1.07
Kepler-178,Kepler-178 d,2014,96.678988,14.8,3.95,1.32,731.04,0.94,1.07
Kepler-179,Kepler-179 b,2014,2.735926,3.33,1.64,4.15,616.39,0.91,0.76
Kepler-179,Kepler-179 c,2014,6.40013,4.66,2,3.2,616.39,0.91,0.76
Kepler-18,Kepler-18 b,2011,3.504725,6.9,2,4.9,438.51,0.97,1.11
Kepler-18,Kepler-18 c,2011,7.64159,17.3,5.49,0.59,438.51,0.97,1.11
Kepler-18,Kepler-18 d,2011,14.85888,16.4,6.98,0.27,438.51,0.97,1.11
Kepler-180,Kepler-180 b,2014,13.817124,2.86,1.5,4.66,709.83,0.95,1.06
Kepler-180,Kepler-180 c,2014,41.885775,9.32,3.01,1.88,709.83,0.95,1.06
Kepler-181,Kepler-181 b,2014,3.137873,2.15,1.27,5.77,620.09,0.88,0.75
Kepler-181,Kepler-181 c,2014,4.302149,4.62,1.99,3.22,620.09,0.88,0.75
Kepler-182,Kepler-182 b,2014,9.825792,7.18,2.58,2.3,1621.79,1.16,1.15
Kepler-182,Kepler-182 c,2014,20.684342,11.6,3.43,1.58,1621.79,1.16,1.15
Kepler-183,Kepler-183 b,2014,5.687945,4.9,2.06,3.08,1082.6,1,0.96
Kepler-183,Kepler-183 c,2014,11.637071,35.7,2.27,16.8,1082.6,1,0.96
Kepler-184,Kepler-184 b,2014,10.687576,6.17,2.36,2.58,621.24,0.97,0.87
Kepler-184,Kepler-184 c,2014,20.303005,8.8,1.97,6.32,621.24,0.97,0.87
Kepler-184,Kepler-184 d,2014,29.022358,6.76,2.49,2.41,621.24,0.97,0.87
Kepler-185,Kepler-185 b,2014,1.6329,1.71,1.17,5.87,473.07,0.82,0.81
Kepler-185,Kepler-185 c,2014,20.729042,4.74,2.02,3.16,473.07,0.82,0.81
Kepler-186,Kepler-186 b,2014,3.8867907,1.24,1.07,5.56,172,0.54,0.52
Kepler-186,Kepler-186 c,2014,7.267302,2.1,1.25,5.91,172,0.54,0.52
Kepler-186,Kepler-186 d,2014,13.342996,2.54,1.4,5.09,172,0.54,0.52
Kepler-186,Kepler-186 e,2014,22.407704,2.15,1.27,5.77,172,0.54,0.52
Kepler-186,Kepler-186 f,2014,129.9441,1.71,1.17,5.87,172,0.54,0.52
Kepler-187,Kepler-187 b,2014,4.938864,2.57,1.41,5.04,1180.86,1.11,1.29
Kepler-187,Kepler-187 c,2014,10.640263,7.61,2.67,2.2,1180.86,1.11,1.29
Kepler-188,Kepler-188 b,2014,2.061897,3.46,1.68,4.01,996.09,0.98,1.14
Kepler-188,Kepler-188 c,2014,5.996553,10.3,3.19,1.74,996.09,0.98,1.14
Kepler-189,Kepler-189 b,2014,10.399931,1.92,1.21,5.96,601.75,0.83,0.75
Kepler-189,Kepler-189 c,2014,20.134866,22.7,2.38,9.25,601.75,0.83,0.75
Kepler-19,Kepler-19 b,2011,9.28716,8.4,2.209,10.4,219.95,0.94,0.86
Kepler-19,Kepler-19 c,2011,28.731,13.1,3.68,1.44,219.95,0.94,0.86
Kepler-19,Kepler-19 d,2017,62.95,22.5,5.06,0.954,219.95,0.94,0.86
Kepler-190,Kepler-190 b,2014,2.019999,3.05,1.56,4.41,438.88,0.86,0.8
Kepler-190,Kepler-190 c,2014,3.763024,2.73,1.46,4.82,438.88,0.86,0.8
Kepler-191,Kepler-191 b,2014,9.939632,2.36,1.34,5.39,604.75,0.84,0.79
Kepler-191,Kepler-191 c,2014,17.738506,4.12,1.86,3.52,604.75,0.84,0.79
Kepler-191,Kepler-191 d,2016,5.94504102,5.82,2.28,2.7,604.75,0.84,0.79
Kepler-192,Kepler-192 b,2014,9.926746,7.95,2.74,2.12,664.14,0.94,1.01
Kepler-192,Kepler-192 c,2014,21.2234,8.2,2.79,2.07,664.14,0.94,1.01
Kepler-192,Kepler-192 d,2016,6.47027579,1.04,1.02,5.39,664.14,0.94,1.01
Kepler-193,Kepler-193 b,2014,11.38848,6.3,2.39,2.54,1038.87,1.14,1.15
Kepler-193,Kepler-193 c,2014,50.697494,8,2.75,2.11,1038.87,1.14,1.15
Kepler-194,Kepler-194 b,2014,2.092281,2.89,1.51,4.61,1133.48,1.09,1.02
Kepler-194,Kepler-194 c,2014,17.308032,7.22,2.59,2.28,1133.48,1.09,1.02
Kepler-194,Kepler-194 d,2014,52.814973,6.35,2.4,2.52,1133.48,1.09,1.02
Kepler-195,Kepler-195 b,2014,8.307872,4.78,2.03,3.14,664.47,0.83,0.78
Kepler-195,Kepler-195 c,2014,34.096863,3.02,1.55,4.46,664.47,0.83,0.78
Kepler-196,Kepler-196 b,2014,20.739886,4.27,1.9,3.42,457.26,0.85,0.78
Kepler-196,Kepler-196 c,2014,47.427737,5.65,2.24,2.76,457.26,0.85,0.78
Kepler-197,Kepler-197 b,2014,5.599308,1.04,1.02,5.39,333.75,1.01,1.12
Kepler-197,Kepler-197 c,2014,10.349695,5.3,1.23,15.7,333.75,1.01,1.12
Kepler-197,Kepler-197 d,2014,15.677563,1.98,1.22,5.99,333.75,1.01,1.12
Kepler-197,Kepler-197 e,2014,25.209715,0.693,0.91,5.05,333.75,1.01,1.12
Kepler-198,Kepler-198 b,2014,17.790037,8.35,2.82,2.05,502.52,0.97,0.94
Kepler-198,Kepler-198 c,2014,49.567416,6.66,2.47,2.43,502.52,0.97,0.94
Kepler-198,Kepler-198 d,2016,1.31184443,2.96,1.53,4.54,502.52,0.97,0.94
Kepler-199,Kepler-199 b,2014,23.637604,9.85,3.11,1.8,528.99,0.96,0.97
Kepler-199,Kepler-199 c,2014,67.093408,10.6,3.25,1.7,528.99,0.96,0.97
Kepler-20,Kepler-20 b,2011,3.69611525,9.7,1.868,8.2,284.88,0.95,0.96
Kepler-20,Kepler-20 c,2011,10.85409089,12.75,3.047,2.5,284.88,0.95,0.96
Kepler-20,Kepler-20 d,2011,77.61130017,10.07,2.744,2.7,284.88,0.95,0.96
Kepler-20,Kepler-20 e,2011,6.09852281,3.08,0.865,,284.88,0.95,0.96
Kepler-20,Kepler-20 f,2011,19.57758478,14.3,1.003,,284.88,0.95,0.96
Kepler-20,Kepler-20 g,2016,34.94,19.96,4.71,1.05,284.88,0.95,0.96
Kepler-200,Kepler-200 b,2014,8.594805,5.18,2.13,2.95,678.93,0.98,0.94
Kepler-200,Kepler-200 c,2014,10.222157,3.15,1.59,4.31,678.93,0.98,0.94
Kepler-201,Kepler-201 b,2014,25.672083,6.62,2.46,2.44,648.18,1.18,1.23
Kepler-201,Kepler-201 c,2014,151.884058,8.5,2.85,2.02,648.18,1.18,1.23
Kepler-202,Kepler-202 b,2014,4.069427,3.29,1.63,4.17,287.48,0.78,0.67
Kepler-202,Kepler-202 c,2014,16.282493,4.08,1.85,3.54,287.48,0.78,0.67
Kepler-203,Kepler-203 b,2014,3.162697,7.13,2.57,2.31,717.73,1,1.11
Kepler-203,Kepler-203 c,2014,5.370647,749.9,2.47,273,717.73,1,1.11
Kepler-203,Kepler-203 d,2014,11.32972,33.9,1.44,62.4,717.73,1,1.11
Kepler-204,Kepler-204 b,2014,14.400974,6.94,2.53,2.35,700.59,1.03,1.24
Kepler-204,Kepler-204 c,2014,25.660593,3.86,1.79,3.7,700.59,1.03,1.24
Kepler-205,Kepler-205 b,2014,2.75564,2.89,1.51,4.61,160.46,0.6,0.55
Kepler-205,Kepler-205 c,2014,20.306546,3.33,1.64,4.15,160.46,0.6,0.55
Kepler-206,Kepler-206 b,2014,7.781987,1.87,1.2,5.95,604.81,1.05,1.19
Kepler-206,Kepler-206 c,2014,13.137471,3.78,1.77,3.75,604.81,1.05,1.19
Kepler-206,Kepler-206 d,2014,23.44281,1.81,1.19,5.9,604.81,1.05,1.19
Kepler-207,Kepler-207 b,2014,1.611865,3.09,1.57,4.39,898.2,1.2,1.59
Kepler-207,Kepler-207 c,2014,3.071571,2.86,1.5,4.66,898.2,1.2,1.59
Kepler-207,Kepler-207 d,2014,5.868075,11,3.31,1.67,898.2,1.2,1.59
Kepler-208,Kepler-208 b,2014,4.22864,3.29,1.63,4.17,793.01,1.16,1.31
Kepler-208,Kepler-208 c,2014,7.466623,2.51,1.39,5.14,793.01,1.16,1.31
Kepler-208,Kepler-208 d,2014,11.131786,1.87,1.2,5.95,793.01,1.16,1.31
Kepler-208,Kepler-208 e,2014,16.259458,2.79,1.48,4.73,793.01,1.16,1.31
Kepler-209,Kepler-209 b,2014,16.087845,5.73,2.26,2.73,586.68,0.95,0.94
Kepler-209,Kepler-209 c,2014,41.749882,9.8,3.1,1.81,586.68,0.95,0.94
Kepler-21,Kepler-21 b,2012,2.78578,5.08,1.639,6.4,108.86,1.41,1.9
Kepler-210,Kepler-210 b,2014,2.453234,8.96,2.94,1.94,234.33,0.77,0.65
Kepler-210,Kepler-210 c,2014,7.972513,12.8,3.62,1.48,234.33,0.77,0.65
Kepler-211,Kepler-211 b,2014,4.138575,2.13,1.26,5.85,312.14,0.9,0.82
Kepler-211,Kepler-211 c,2014,6.04045,18.3,1.29,46.8,312.14,0.9,0.82
Kepler-212,Kepler-212 b,2014,16.257582,1.32,1.09,5.6,701.04,1.09,1.46
Kepler-212,Kepler-212 c,2014,31.805174,7.95,2.74,2.12,701.04,1.09,1.46
Kepler-213,Kepler-213 b,2014,2.46236,3.26,1.62,4.21,646.74,1.07,1.2
Kepler-213,Kepler-213 c,2014,4.822962,6.08,2.34,2.61,646.74,1.07,1.2
Kepler-214,Kepler-214 b,2014,15.660544,7.32,2.61,2.26,1252.07,1.11,1.35
Kepler-214,Kepler-214 c,2014,28.7798,5.18,2.13,2.95,1252.07,1.11,1.35
Kepler-215,Kepler-215 b,2014,9.360672,3.26,1.62,4.21,492.9,0.94,1.03
Kepler-215,Kepler-215 c,2014,14.667108,3.78,1.77,3.75,492.9,0.94,1.03
Kepler-215,Kepler-215 d,2014,30.864423,23.6,2.39,9.5,492.9,0.94,1.03
Kepler-215,Kepler-215 e,2014,68.16101,3.71,1.75,3.8,492.9,0.94,1.03
Kepler-216,Kepler-216 b,2014,7.693641,6.12,2.35,2.59,1229.44,1.11,1.26
Kepler-216,Kepler-216 c,2014,17.406669,9.48,3.04,1.85,1229.44,1.11,1.26
Kepler-217,Kepler-217 b,2014,5.374943,5.6,2.23,2.77,1140.95,1.37,1.8
Kepler-217,Kepler-217 c,2014,8.586004,4.08,1.85,3.54,1140.95,1.37,1.8
Kepler-217,Kepler-217 d,2016,3.88689525,2.3,1.32,5.5,1140.95,1.37,1.8
Kepler-218,Kepler-218 b,2014,3.619337,2.79,1.48,4.73,669.02,1.01,1.06
Kepler-218,Kepler-218 c,2014,44.699576,10,3.14,1.77,669.02,1.01,1.06
Kepler-218,Kepler-218 d,2016,124.5244647,7.56,2.66,2.21,669.02,1.01,1.06
Kepler-219,Kepler-219 b,2014,4.585512,9.01,2.95,1.93,805.3,1.16,1.49
Kepler-219,Kepler-219 c,2014,22.714613,12.5,3.58,1.5,805.3,1.16,1.49
Kepler-219,Kepler-219 d,2014,47.903645,19.1,2.81,4.73,805.3,1.16,1.49
Kepler-22,Kepler-22 b,2011,289.8623,36,2.38,14.7,190,0.97,0.98
Kepler-220,Kepler-220 b,2014,4.159807,0.457,0.81,4.73,171.96,0.65,0.67
Kepler-220,Kepler-220 c,2014,9.034199,3.09,1.57,4.39,171.96,0.65,0.67
Kepler-220,Kepler-220 d,2014,28.122397,0.904,0.98,5.28,171.96,0.65,0.67
Kepler-220,Kepler-220 e,2014,45.902733,2.33,1.33,5.44,171.96,0.65,0.67
Kepler-221,Kepler-221 b,2014,2.795906,3.57,1.71,3.92,389.55,0.87,0.82
Kepler-221,Kepler-221 c,2014,5.690586,15.1,2.93,3.3,389.55,0.87,0.82
Kepler-221,Kepler-221 d,2014,10.04156,7.9,2.73,2.13,389.55,0.87,0.82
Kepler-221,Kepler-221 e,2014,18.369917,7.41,2.63,2.24,389.55,0.87,0.82
Kepler-222,Kepler-222 b,2014,3.936981,10.1,3.16,1.76,775.61,0.88,0.87
Kepler-222,Kepler-222 c,2014,10.08881,19.4,4.64,1.07,775.61,0.88,0.87
Kepler-222,Kepler-222 d,2014,28.081912,13.2,3.69,1.44,775.61,0.88,0.87
Kepler-223,Kepler-223 b,2014,7.38449,7.4,2.99,1.54,1960.49,1.12,1.72
Kepler-223,Kepler-223 c,2014,9.84564,5.1,3.44,0.71,1960.49,1.12,1.72
Kepler-223,Kepler-223 d,2014,14.78869,8,5.24,0.31,1960.49,1.12,1.72
Kepler-223,Kepler-223 e,2014,19.72567,4.8,4.6,0.28,1960.49,1.12,1.72
Kepler-224,Kepler-224 b,2014,3.132924,2.51,1.39,5.14,799.75,0.78,0.68
Kepler-224,Kepler-224 c,2014,5.925003,9.91,3.12,1.79,799.75,0.78,0.68
Kepler-224,Kepler-224 d,2014,11.349393,5.9,2.3,2.66,799.75,0.78,0.68
Kepler-224,Kepler-224 e,2014,18.643577,4.54,1.97,3.26,799.75,0.78,0.68
