puzzleid,red_list,green_list,blue_list,stars
10787,8,1,71,44
10786,7,0,60,66
10785,1,0,76,76
10784,0,9,31,3
10783,10,11,69,89
10782,10,3,57,69
10781,12,4,49,64
10780,12,4,37,52
10779,12,68,41,120
10778,20,0,82,101
10777,0,0,96,95
10776,62,7,63,30
10775,46,5,56,106
10774,9,5,78,2
10773,16,20,16,51
10772,10,11,12,32
10771,8,10,70,1
10770,10,6,74,89
10769,36,0,33,8
10768,41,20,20,1
10767,132,44,16,20
10766,48,0,4,48
10765,7,1,107,114
10764,44,28,35,106
10763,17,6,153,13
10762,6,1,57,36
10761,60,2,81,142
10760,0,47,88,47
10759,1,0,27,4
10758,10,1,80,89
10757,24,29,28,80
10756,15,0,1,15
10755,13,16,56,38
10754,17,17,14,1
10753,16,26,66,5
10752,4,4,76,5
10751,3,1,55,58
10750,8,6,53,12
10749,8,0,56,63
10748,12,12,36,59
10747,15,1,57,72
10746,20,2,24,12
10745,20,2,24,12
10744,10,0,12,6
10743,11,0,85,1
10742,31,5,14,1
10741,77,0,24,100
10740,36,20,48,6
10739,62,0,84,4
10738,2,40,35,28
10737,1,6,78,1
10736,10,3,83,95
10735,2,8,83,34
10734,102,0,51,50
10733,34,0,74,106
10732,42,50,92,144
10731,36,72,72,119
10730,42,60,72,173
10729,62,16,62,36
10728,43,1,54,97
10727,17,3,110,129
10726,7,1,86,91
10725,15,16,98,58
10724,7,7,32,4
10723,9,16,64,88
10722,21,1,115,136
10721,12,20,44,43
10720,35,16,25,4
10719,7,10,16,9
10718,6,2,148,8
10717,9,3,14,2
10716,19,0,55,42
10715,5,6,23,1
10714,2,0,10,2
10713,13,59,5,2
10712,25,11,13,23
10711,158,22,11,1
10710,4,8,14,1
10709,7,9,12,2
10708,8,8,24,39
10707,46,8,6,27
10706,0,1,8,3
10705,6,1,71,1
10704,1,4,15,5
10703,7,15,10,1
10702,34,2,5,1
10701,0,7,64,11
10700,28,12,14,25
10699,74,8,5,2
10698,2,3,15,3
10697,0,4,16,19
10696,21,1,170,183
10695,1,8,183,23
10694,10,12,81,23
10693,6,10,1,4
10692,12,23,22,56
10690,42,0,52,52
10689,1,8,43,9
10688,72,85,35,21
10687,48,20,32,98
10686,0,4,96,99
10685,28,1,107,135
10684,0,0,10,1
10683,0,4,13,8
10682,18,82,10,109
10681,10,4,1,2
10680,1,0,53,42
10679,8,56,24,56
10678,0,0,92,91
10677,0,0,7,6
10676,0,0,7,3
10675,0,0,3,2
10674,16,12,13,8
10673,20,45,24,88
10672,0,0,88,87
10671,24,44,24,91
10670,32,4,0,6
10669,0,9,4,3
10668,1,10,28,6
10667,0,0,61,2
10666,4,4,18,9
10665,4,8,96,107
10664,0,0,65,5
10663,0,0,4,3
10662,0,0,6,3
10661,0,0,3,2
10660,0,0,3,2
10659,0,0,7,3
10658,14,0,73,15
10657,38,0,108,145
10656,13,15,95,56
10655,12,5,8,2
10654,14,69,109,3
10653,28,36,105,4
10652,7,6,14,6
10651,6,60,48,113
10650,12,25,12,48
10649,20,12,20,51
10648,76,7,61,143
10647,0,0,80,79
10646,8,0,98,105
10645,128,32,32,6
10644,12,5,47,63
10643,8,6,95,1
10642,15,38,66,2
10641,2,1,11,2
10640,11,12,82,104
10639,35,0,36,1
10638,55,48,31,3
10637,6,5,118,128
10636,0,22,146,12
10635,67,18,26,110
10634,40,8,1,8
10633,6,1,78,2
10632,3,7,86,1
10631,4,4,64,9
10630,4,4,64,9
10628,3,1,113,115
10627,3,1,113,116
10626,108,0,0,1
10625,8,13,12,32
10624,1,3,26,1
10623,53,12,73,126
10622,17,27,49,7
10621,18,20,32,7
10620,18,5,66,9
10619,18,20,31,6
10618,8,0,30,30
10617,20,0,60,79
10616,15,0,60,74
10615,20,0,61,80
10614,98,11,83,32
10613,9,3,65,76
10612,9,3,68,79
10611,19,11,45,12
10610,0,0,59,26
10609,0,0,65,39
10608,0,0,63,39
10607,0,0,69,43
10606,0,0,36,19
10605,18,1,101,118
10604,16,1,56,14
10603,11,0,81,91
10602,8,24,81,112
10601,0,0,72,16
10600,12,19,40,1
10599,1,3,61,64
10598,10,16,105,130
10597,23,11,56,23
10596,3,1,64,67
10595,0,6,78,1
10594,42,22,50,113
10593,5,5,53,32
10592,9,7,61,2
10591,3,3,85,90
10590,1,8,67,1
10588,12,8,124,44
10587,1,4,26,1
10586,1,4,26,1
10585,0,7,80,1
10584,0,9,76,1
10583,1,9,76,1
10582,8,9,50,66
10581,0,12,66,77
10580,32,28,58,117
10579,28,24,58,109
10578,33,35,40,41
10577,50,4,54,107
10576,15,15,50,1
10575,29,12,107,12
10574,71,0,60,119
10573,48,48,96,95
