puzzleid,difficulty,players_solved,min_sol_len,likes,dislikes
8624,1.65,81,12,11,2
8623,3.5,13,6,3,0
8622,1.69,43,10,3,6
8621,1.65,73,8,9,2
8620,1.69,42,8,7,4
8619,1.79,46,5,4,4
8618,2,2,23,0,1
8617,2,21,13,1,2
8616,1.9,162,9,25,1
8615,1.75,36,16,6,2
8614,2.25,10,24,2,1
8613,1.47,79,9,8,2
8612,1.65,63,8,11,2
8611,1.73,58,7,10,2
8610,1.36,108,6,11,7
8609,1.3,269,13,33,12
8608,1.53,66,18,6,3
8607,1.37,171,12,11,5
8606,1.38,115,12,12,5
8605,1.4,151,7,14,4
8604,1.3,411,5,69,12
8603,1.5,108,5,11,9
8602,1.47,102,5,9,6
8601,1.2,54,5,4,9
8600,1.3,247,5,35,6
8599,1.28,272,5,29,17
8598,1.33,55,4,4,9
8597,1.38,106,7,14,5
8596,2,2,12,0,0
8595,2.6,6,21,2,0
8594,1.32,351,5,43,14
8593,1.39,137,6,14,4
8592,1.28,137,8,15,11
8591,1.26,145,6,10,15
8590,2.75,19,6,3,0
8589,2.5,19,6,5,0
8588,3,6,18,1,2
8587,2.08,22,17,5,3
8586,2,19,12,2,3
8585,2.24,63,7,17,0
8584,1.77,88,4,6,1
8583,2,10,11,0,1
8582,2.5,7,15,2,0
8581,1.44,81,8,10,4
8580,1.45,97,5,14,4
8579,2.63,17,7,4,2
8578,1.77,51,9,7,3
8577,2.56,17,7,3,0
8575,1.55,72,5,13,3
8574,3,6,9,2,0
8573,3,7,16,2,2
8572,2.14,15,16,6,1
8571,1.86,33,18,6,4
8570,1.38,187,7,21,11
8569,1.5,151,6,8,1
8568,1.35,94,11,8,7
8567,2.43,17,9,3,0
8566,2,30,8,5,1
8565,2.14,13,16,0,3
8564,4,2,20,1,0
8563,2,16,6,4,2
8562,2.75,5,10,0,1
8561,3.67,4,9,0,2
8560,2.75,8,8,1,2
8559,3,2,13,1,0
8558,3,2,29,1,0
8557,3,4,12,2,0
8556,5,3,21,0,0
8555,1.92,24,11,6,3
8554,3,2,10,0,0
8553,2.2,9,19,2,0
8552,1.91,21,10,5,3
8551,1,25,9,2,7
8550,2.25,5,27,1,0
8549,3,2,16,0,0
8548,1.94,47,9,12,2
8547,2.4,29,18,8,2
8546,1.21,44,4,2,9
8545,1.85,54,8,4,4
8544,4,2,19,1,0
8543,1.56,71,5,5,5
8542,2.08,43,8,5,2
8541,1.67,76,7,14,3
8540,1.48,109,8,20,4
8539,2.71,9,17,5,0
8538,2.86,10,16,6,0
8537,1.82,55,6,10,2
8536,2,34,6,8,1
8535,3.5,3,13,0,0
8534,2.22,21,14,4,3
8533,1.6,72,10,7,3
8532,1.75,48,7,3,3
8531,2.57,8,9,4,0
8529,1.38,110,5,15,5
8528,1.8,48,10,7,1
8527,3.5,3,14,0,0
8526,2.04,117,7,19,0
8525,1.92,153,6,22,0
8524,1.94,131,6,10,1
8523,2.4,10,15,4,0
8522,2.33,10,9,0,1
8521,2.89,14,25,7,0
8520,4,2,17,0,0
8519,1.88,54,7,7,4
8518,1.88,29,11,7,2
8517,2.2,19,11,6,1
8516,2.22,16,8,5,1
8515,1.37,141,4,23,3
8514,1.83,60,4,10,6
8513,1.74,67,8,13,3
8512,1.32,565,5,89,34
8511,1.5,89,4,14,7
8510,2.4,6,16,5,0
8509,1.39,116,9,11,11
8508,1.47,72,18,8,7
8507,1.1,18,10,0,9
8506,1.89,55,5,11,4
8505,1.46,99,8,12,7
8504,1.31,378,4,50,25
8503,1.92,35,5,7,1
8502,1.35,353,5,49,17
8501,1.64,70,5,10,6
8500,1.65,57,14,9,3
8499,1.44,102,4,16,6
8498,3.08,20,20,12,0
8497,1,17,8,1,8
8496,1,54,6,5,12
8495,1.25,39,5,3,10
8494,1.25,33,4,5,11
8493,3.5,11,9,7,0
8492,3.25,5,18,2,0
8491,3.17,15,6,3,1
8490,1.44,72,7,5,7
8489,1.39,123,8,14,9
8488,1.11,16,5,0,6
8487,1.54,90,7,9,7
8486,1.15,24,7,2,8
8485,1.47,64,7,4,7
8484,2.06,33,7,5,3
8483,1.32,46,3,6,11
8482,1.52,94,6,9,9
8481,1.65,77,7,10,3
