rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
54,BD-06 1339,BD-06 1339 b,2013,3.8728,0.0428,0,8.5,0.027,2.85,0.254,0.026,2.02,,20.28,4324,4.74,-1.022,0.7,0.67,-0.14,4.4
55,BD-06 1339,BD-06 1339 c,2013,125.94,0.435,0.31,53,0.17,8.38,0.747,0.077,0.495,,20.28,4324,4.74,-1.022,0.7,0.67,-0.14,4.4
56,BD-08 2823,BD-08 2823 b,2009,5.6,0.06,0.15,12.7132,0.04,3.61,0.322,0.033,1.48,,41.38,4816,4.43,-0.626,0.5,0.71,-0.06,4.5
57,BD-08 2823,BD-08 2823 c,2009,237.6,0.68,0.19,104,0.33,12.5,1.11,0.114,0.293,,41.38,4816,4.43,-0.626,0.5,0.71,-0.06,4.5
58,BD-10 3166,BD-10 3166 b,2000,3.48777,0.04,0.02,187.5197,0.59,14.1,1.26,0.129,0.368,,84.61,5393,4.69,-0.191,1.47,0.91,0.38,1
59,BD-11 4672,BD-11 4672 b,2014,1667,2.28,0.05,168.44,0.53,14.2,1.27,0.13,0.323,,27.3,4475,4.1,-0.881,0.57,0.52,-0.48,4.4
60,BD-13 2130,BD-13 2130 b,2007,714.29999,1.66,0.21,3108.3774,9.78,12.5,1.11,0.114,8.75,,948.75,4545,2.2,2.043,2.12,19.17,-0.08,0.74
61,BD-17 63,BD-17 63 b,2008,655.6,1.34,0.54,1620.9,5.1,12.8,1.15,0.118,4.25,,34.49,4714,4.26,-0.678,0.74,0.69,-0.03,4.3
62,CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,2011,10037.5,2.6,,3337.1,10.5,12.4,1.11,0.114,9.62,370,23.1,580.5,4.72,,0.02,,,
63,CHXR 73,CHXR 73 b,2006,,210,,3994.486,12.569,12.3,1.1,0.113,11.8,,191.05,,,,0.35,,,0.002
64,CI Tau,CI Tau b,2019,8.9891,,0.25,3686.828,11.6,12.4,1.11,0.114,10.6,,158,3635,,-0.108,0.9,1.88,,0.003
65,CT Cha,CT Cha b,2007,,440,,5403,17,24.66,2.2,0.226,1.98,2600,165,4200.2,,-0.102,,1.68,,0.002
66,CoRoT-1,CoRoT-1 b,2008,1.5089557,0.02752,0,327.35,1.03,16.7,1.49,0.153,0.38,1898,805.31,5950,4.25,0.298,0.95,1.11,-0.3,1.6
67,CoRoT-10,CoRoT-10 b,2010,13.2406,0.1055,0.53,874,2.75,10.87,0.97,0.1,3.7,600,345,5075,4.65,-0.726,0.89,0.79,0.26,3
68,CoRoT-11,CoRoT-11 b,2010,2.99433,0.0436,0,740.51,2.33,16.03,1.43,0.147,0.99,1657,560,6440,4.22,0.378,1.27,1.37,-0.03,2
69,CoRoT-12,CoRoT-12 b,2010,2.828042,0.04016,0.07,291.438,0.917,16.14,1.44,0.148,0.411,1442,1150,5675,4.38,0.07,1.08,1.12,0.16,6.3
70,CoRoT-13,CoRoT-13 b,2010,4.03519,0.051,0,415.704,1.308,9.92,0.885,0.091,2.34,1700,1060,5945,4.46,0.073,1.09,1.01,0.01,1.635
71,CoRoT-14,CoRoT-14 b,2010,1.51214,0.027,0,2415.4,7.6,12.22,1.09,0.112,7.3,1952,1340,6035,4.35,0.119,1.13,1.21,0.05,4.2
