rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
2296,Kepler-186,Kepler-186 b,2014,3.8867907,0.0343,,1.24,0.0039,1.07,0.095,0.01,5.56,579,172,3755,4.74,-1.26,0.54,0.52,-0.26,4
2297,Kepler-186,Kepler-186 c,2014,7.267302,0.0451,,2.1,0.0066,1.25,0.112,0.011,5.91,470,172,3755,4.74,-1.26,0.54,0.52,-0.26,4
2298,Kepler-186,Kepler-186 d,2014,13.342996,0.0781,,2.54,0.008,1.4,0.125,0.013,5.09,384,172,3755,4.74,-1.26,0.54,0.52,-0.26,4
2299,Kepler-186,Kepler-186 e,2014,22.407704,0.11,,2.15,0.00678,1.27,0.113,0.012,5.77,,172,3755,4.74,-1.26,0.54,0.52,-0.26,4
2300,Kepler-186,Kepler-186 f,2014,129.9441,0.432,0.04,1.71,0.00537,1.17,0.104,0.011,5.87,,172,3755,4.74,-1.26,0.54,0.52,-0.26,4
2301,Kepler-187,Kepler-187 b,2014,4.938864,0.059,,2.57,0.00809,1.41,0.126,0.013,5.04,,1180.86,6105,4.27,0.363,1.11,1.29,-0.02,3.72
2302,Kepler-187,Kepler-187 c,2014,10.640263,0.099,,7.61,0.0239,2.67,0.238,0.025,2.2,,1180.86,6105,4.27,0.363,1.11,1.29,-0.02,3.72
2303,Kepler-188,Kepler-188 b,2014,2.061897,0.032,,3.46,0.0109,1.68,0.15,0.015,4.01,,996.09,6021,4.35,0.016,0.98,1.14,0,4.37
2304,Kepler-188,Kepler-188 c,2014,5.996553,0.066,,10.3,0.0324,3.19,0.285,0.029,1.74,,996.09,6021,4.35,0.016,0.98,1.14,0,4.37
2305,Kepler-189,Kepler-189 b,2014,10.399931,0.088,,1.92,0.00606,1.21,0.108,0.011,5.96,,601.75,5235,4.62,-0.451,0.83,0.75,-0.02,5.13
2306,Kepler-189,Kepler-189 c,2014,20.134866,0.137,,22.7,0.071,2.38,0.212,0.022,9.25,,601.75,5235,4.62,-0.451,0.83,0.75,-0.02,5.13
2307,Kepler-19,Kepler-19 b,2011,9.28716,,0.12,8.4,0.02643,2.209,0.197,0.02,10.4,,219.95,5544,4.51,-0.183,0.94,0.86,-0.08,1.9
2308,Kepler-19,Kepler-19 c,2011,28.731,,0.21,13.1,0.04122,3.68,0.328,0.034,1.44,,219.95,5544,4.51,-0.183,0.94,0.86,-0.08,1.9
2309,Kepler-19,Kepler-19 d,2017,62.95,,0.05,22.5,0.07079,5.06,0.451,0.046,0.954,,219.95,5544,4.51,-0.183,0.94,0.86,-0.08,1.9
2310,Kepler-190,Kepler-190 b,2014,2.019999,0.03,,3.05,0.00961,1.56,0.139,0.014,4.41,,438.88,5106,4.56,-0.451,0.86,0.8,0.02,3.72
2311,Kepler-190,Kepler-190 c,2014,3.763024,0.045,,2.73,0.00859,1.46,0.13,0.013,4.82,,438.88,5106,4.56,-0.451,0.86,0.8,0.02,3.72
2312,Kepler-191,Kepler-191 b,2014,9.939632,0.087,,2.36,0.00742,1.34,0.12,0.012,5.39,,604.75,5282,4.59,-0.441,0.84,0.79,-0.05,4.9
2313,Kepler-191,Kepler-191 c,2014,17.738506,0.128,,4.12,0.013,1.86,0.166,0.017,3.52,,604.75,5282,4.59,-0.441,0.84,0.79,-0.05,4.9
2314,Kepler-191,Kepler-191 d,2016,5.94504102,,,5.82,0.0183,2.28,0.203,0.021,2.7,,604.75,5282,4.59,-0.441,0.84,0.79,-0.05,4.9
2315,Kepler-192,Kepler-192 b,2014,9.926746,0.09,,7.95,0.025,2.74,0.244,0.025,2.12,,664.14,5479,4.43,-0.109,0.94,1.01,0.13,6.76
2316,Kepler-192,Kepler-192 c,2014,21.2234,0.15,,8.2,0.0258,2.79,0.249,0.026,2.07,,664.14,5479,4.43,-0.109,0.94,1.01,0.13,6.76
2317,Kepler-192,Kepler-192 d,2016,6.47027579,,,1.04,0.00328,1.02,0.091,0.009,5.39,,664.14,5479,4.43,-0.109,0.94,1.01,0.13,6.76
2318,Kepler-193,Kepler-193 b,2014,11.38848,0.106,,6.3,0.0198,2.39,0.213,0.022,2.54,,1038.87,6335,4.4,0.066,1.14,1.15,0.03,2.88
2319,Kepler-193,Kepler-193 c,2014,50.697494,0.286,,8,0.0252,2.75,0.245,0.025,2.11,,1038.87,6335,4.4,0.066,1.14,1.15,0.03,2.88
2320,Kepler-194,Kepler-194 b,2014,2.092281,0.032,,2.89,0.00909,1.51,0.135,0.014,4.61,,1133.48,6089,4.42,0.022,1.09,1.02,0.07,3.55
2321,Kepler-194,Kepler-194 c,2014,17.308032,0.131,,7.22,0.0227,2.59,0.231,0.024,2.28,,1133.48,6089,4.42,0.022,1.09,1.02,0.07,3.55
2322,Kepler-194,Kepler-194 d,2014,52.814973,0.275,,6.35,0.02,2.4,0.214,0.022,2.52,,1133.48,6089,4.42,0.022,1.09,1.02,0.07,3.55
2323,Kepler-195,Kepler-195 b,2014,8.307872,0.077,,4.78,0.015,2.03,0.181,0.019,3.14,,664.47,5329,4.6,-0.367,0.83,0.78,-0.11,4.9
2324,Kepler-195,Kepler-195 c,2014,34.096863,0.197,,3.02,0.00951,1.55,0.138,0.014,4.46,,664.47,5329,4.6,-0.367,0.83,0.78,-0.11,4.9
2325,Kepler-196,Kepler-196 b,2014,20.739886,0.138,,4.27,0.0134,1.9,0.17,0.017,3.42,,457.26,5128,4.57,-0.409,0.85,0.78,-0.02,3.98
2326,Kepler-196,Kepler-196 c,2014,47.427737,0.24,,5.65,0.0178,2.24,0.2,0.021,2.76,,457.26,5128,4.57,-0.409,0.85,0.78,-0.02,3.98
2327,Kepler-197,Kepler-197 b,2014,5.599308,0.06,0.02,1.04,0.00328,1.02,0.091,0.009,5.39,,333.75,6004,4.3,0.199,1.01,1.12,-0.28,5.37
2328,Kepler-197,Kepler-197 c,2014,10.349695,0.09,0.08,5.3,0.017,1.23,0.11,0.011,15.7,,333.75,6004,4.3,0.199,1.01,1.12,-0.28,5.37
2329,Kepler-197,Kepler-197 d,2014,15.677563,0.119,0.03,1.98,0.00624,1.22,0.109,0.011,5.99,,333.75,6004,4.3,0.199,1.01,1.12,-0.28,5.37
2330,Kepler-197,Kepler-197 e,2014,25.209715,0.164,0.38,0.693,0.00218,0.91,0.081,0.008,5.05,,333.75,6004,4.3,0.199,1.01,1.12,-0.28,5.37
2331,Kepler-198,Kepler-198 b,2014,17.790037,0.131,,8.35,0.0263,2.82,0.252,0.026,2.05,,502.52,5574,4.47,-0.141,0.97,0.94,0.04,3.72
2332,Kepler-198,Kepler-198 c,2014,49.567416,0.259,,6.66,0.021,2.47,0.22,0.023,2.43,,502.52,5574,4.47,-0.141,0.97,0.94,0.04,3.72
2333,Kepler-198,Kepler-198 d,2016,1.31184443,,,2.96,0.0093,1.53,0.136,0.014,4.54,,502.52,5574,4.47,-0.141,0.97,0.94,0.04,3.72
2334,Kepler-199,Kepler-199 b,2014,23.637604,0.158,,9.85,0.031,3.11,0.277,0.029,1.8,,528.99,5644,4.44,-0.109,0.96,0.97,-0.12,1.45
2335,Kepler-199,Kepler-199 c,2014,67.093408,0.316,,10.6,0.0334,3.25,0.29,0.03,1.7,,528.99,5644,4.44,-0.109,0.96,0.97,-0.12,1.45
2336,Kepler-20,Kepler-20 b,2011,3.69611525,0.0463,0.03,9.7,0.03052,1.868,0.167,0.017,8.2,1105,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2337,Kepler-20,Kepler-20 c,2011,10.85409089,0.0949,0.16,12.75,0.04012,3.047,0.272,0.028,2.5,772,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2338,Kepler-20,Kepler-20 d,2011,77.61130017,0.3506,0.6,10.07,0.03168,2.744,0.245,0.025,2.7,401,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2339,Kepler-20,Kepler-20 e,2011,6.09852281,0.0639,0.28,3.08,0.01,0.865,0.077,0.008,,1040,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2340,Kepler-20,Kepler-20 f,2011,19.57758478,0.1396,0.32,14.3,0.045,1.003,0.089,0.009,,705,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2341,Kepler-20,Kepler-20 g,2016,34.94,0.2055,0.15,19.96,0.0628,4.71,0.42,0.043,1.05,524,284.88,5495,4.45,-0.189,0.95,0.96,0.07,7.6
2342,Kepler-200,Kepler-200 b,2014,8.594805,0.08,,5.18,0.0163,2.13,0.19,0.019,2.95,,678.93,5678,4.45,-0.045,0.98,0.94,-0.07,3.63
2343,Kepler-200,Kepler-200 c,2014,10.222157,0.09,,3.15,0.00993,1.59,0.142,0.015,4.31,,678.93,5678,4.45,-0.045,0.98,0.94,-0.07,3.63
2344,Kepler-201,Kepler-201 b,2014,25.672083,0.175,,6.62,0.0208,2.46,0.219,0.023,2.44,,648.18,6065,4.29,0.319,1.18,1.23,0.15,2.19
2345,Kepler-201,Kepler-201 c,2014,151.884058,0.573,,8.5,0.0267,2.85,0.254,0.026,2.02,,648.18,6065,4.29,0.319,1.18,1.23,0.15,2.19
2346,Kepler-202,Kepler-202 b,2014,4.069427,0.045,,3.29,0.0104,1.63,0.145,0.015,4.17,,287.48,4668,4.65,-0.708,0.78,0.67,0.01,3.24
2347,Kepler-202,Kepler-202 c,2014,16.282493,0.113,,4.08,0.0128,1.85,0.165,0.017,3.54,,287.48,4668,4.65,-0.708,0.78,0.67,0.01,3.24
2348,Kepler-203,Kepler-203 b,2014,3.162697,0.043,,7.13,0.0224,2.57,0.229,0.024,2.31,,717.73,5821,4.36,0.01,1,1.11,-0.01,5.5
2349,Kepler-203,Kepler-203 c,2014,5.370647,0.061,,749.9,2.36,2.47,0.22,0.023,273,,717.73,5821,4.36,0.01,1,1.11,-0.01,5.5
2350,Kepler-203,Kepler-203 d,2014,11.32972,0.1,,33.9,0.107,1.44,0.128,0.013,62.4,,717.73,5821,4.36,0.01,1,1.11,-0.01,5.5
2351,Kepler-204,Kepler-204 b,2014,14.400974,0.117,,6.94,0.0218,2.53,0.226,0.023,2.35,,700.59,5812,4.27,0.014,1.03,1.24,0.01,5.75
2352,Kepler-204,Kepler-204 c,2014,25.660593,0.173,,3.86,0.0121,1.79,0.16,0.016,3.7,,700.59,5812,4.27,0.014,1.03,1.24,0.01,5.75
2353,Kepler-205,Kepler-205 b,2014,2.75564,0.032,,2.89,0.00909,1.51,0.135,0.014,4.61,672,160.46,4321,4.74,-0.989,0.6,0.55,-0.25,3.16
2354,Kepler-205,Kepler-205 c,2014,20.306546,0.122,,3.33,0.0105,1.64,0.146,0.015,4.15,345,160.46,4321,4.74,-0.989,0.6,0.55,-0.25,3.16
2355,Kepler-206,Kepler-206 b,2014,7.781987,0.078,,1.87,0.00588,1.2,0.107,0.011,5.95,,604.81,5764,4.31,0.053,1.05,1.19,0.08,5.25
2356,Kepler-206,Kepler-206 c,2014,13.137471,0.111,,3.78,0.0119,1.77,0.158,0.016,3.75,,604.81,5764,4.31,0.053,1.05,1.19,0.08,5.25
2357,Kepler-206,Kepler-206 d,2014,23.44281,0.163,,1.81,0.0057,1.19,0.106,0.011,5.9,,604.81,5764,4.31,0.053,1.05,1.19,0.08,5.25
2358,Kepler-207,Kepler-207 b,2014,1.611865,0.029,,3.09,0.00972,1.57,0.14,0.014,4.39,,898.2,5920,4.13,0.511,1.2,1.59,0.18,4.17
2359,Kepler-207,Kepler-207 c,2014,3.071571,0.044,,2.86,0.00899,1.5,0.134,0.014,4.66,,898.2,5920,4.13,0.511,1.2,1.59,0.18,4.17
2360,Kepler-207,Kepler-207 d,2014,5.868075,0.068,,11,0.0345,3.31,0.295,0.03,1.67,,898.2,5920,4.13,0.511,1.2,1.59,0.18,4.17
2361,Kepler-208,Kepler-208 b,2014,4.22864,0.054,,3.29,0.0104,1.63,0.145,0.015,4.17,,793.01,6092,4.26,0.252,1.16,1.31,0.19,4.37
2362,Kepler-208,Kepler-208 c,2014,7.466623,0.079,,2.51,0.0079,1.39,0.124,0.013,5.14,,793.01,6092,4.26,0.252,1.16,1.31,0.19,4.37
2363,Kepler-208,Kepler-208 d,2014,11.131786,0.103,,1.87,0.00588,1.2,0.107,0.011,5.95,,793.01,6092,4.26,0.252,1.16,1.31,0.19,4.37
2364,Kepler-208,Kepler-208 e,2014,16.259458,0.132,,2.79,0.00879,1.48,0.132,0.014,4.73,,793.01,6092,4.26,0.252,1.16,1.31,0.19,4.37
2365,Kepler-209,Kepler-209 b,2014,16.087845,0.122,,5.73,0.018,2.26,0.202,0.021,2.73,,586.68,5513,4.47,-0.16,0.95,0.94,0.03,4.47
2366,Kepler-209,Kepler-209 c,2014,41.749882,0.231,,9.8,0.0308,3.1,0.277,0.028,1.81,,586.68,5513,4.47,-0.16,0.95,0.94,0.03,4.47
2367,Kepler-21,Kepler-21 b,2012,2.78578,0.042717,0.02,5.08,0.01598,1.639,0.146,0.015,6.4,2025,108.86,6305,4.03,0.715,1.41,1.9,-0.03,3.03
2368,Kepler-210,Kepler-210 b,2014,2.453234,0.032,,8.96,0.0282,2.94,0.262,0.027,1.94,734,234.33,4559,4.66,-0.758,0.77,0.65,0.15,1.78
2369,Kepler-210,Kepler-210 c,2014,7.972513,0.07,,12.8,0.0401,3.62,0.323,0.033,1.48,495,234.33,4559,4.66,-0.758,0.77,0.65,0.15,1.78
2370,Kepler-211,Kepler-211 b,2014,4.138575,0.048,,2.13,0.00669,1.26,0.112,0.012,5.85,,312.14,5123,4.55,-0.408,0.9,0.82,0.1,1.55
2371,Kepler-211,Kepler-211 c,2014,6.04045,0.062,,18.3,0.058,1.29,0.115,0.012,46.8,,312.14,5123,4.55,-0.408,0.9,0.82,0.1,1.55
2372,Kepler-212,Kepler-212 b,2014,16.257582,0.133,,1.32,0.00416,1.09,0.097,0.01,5.6,,701.04,5852,4.18,0.367,1.09,1.46,0.16,5.5
2373,Kepler-212,Kepler-212 c,2014,31.805174,0.207,,7.95,0.025,2.74,0.244,0.025,2.12,,701.04,5852,4.18,0.367,1.09,1.46,0.16,5.5
2374,Kepler-213,Kepler-213 b,2014,2.46236,0.036,,3.26,0.0102,1.62,0.145,0.015,4.21,,646.74,5696,4.31,0.055,1.07,1.2,0.25,1.62
2375,Kepler-213,Kepler-213 c,2014,4.822962,0.057,,6.08,0.0191,2.34,0.209,0.021,2.61,,646.74,5696,4.31,0.055,1.07,1.2,0.25,1.62
2376,Kepler-214,Kepler-214 b,2014,15.660544,0.13,,7.32,0.023,2.61,0.233,0.024,2.26,,1252.07,6169,4.25,0.5,1.11,1.35,0.09,1.58
2377,Kepler-214,Kepler-214 c,2014,28.7798,0.194,,5.18,0.0163,2.13,0.19,0.019,2.95,,1252.07,6169,4.25,0.5,1.11,1.35,0.09,1.58
2378,Kepler-215,Kepler-215 b,2014,9.360672,0.084,,3.26,0.0102,1.62,0.145,0.015,4.21,,492.9,5739,4.36,-0.159,0.94,1.03,-0.17,1.62
2379,Kepler-215,Kepler-215 c,2014,14.667108,0.113,,3.78,0.0119,1.77,0.158,0.016,3.75,,492.9,5739,4.36,-0.159,0.94,1.03,-0.17,1.62
2380,Kepler-215,Kepler-215 d,2014,30.864423,0.185,,23.6,0.074,2.39,0.213,0.022,9.5,,492.9,5739,4.36,-0.159,0.94,1.03,-0.17,1.62
2381,Kepler-215,Kepler-215 e,2014,68.16101,0.314,,3.71,0.0117,1.75,0.156,0.016,3.8,,492.9,5739,4.36,-0.159,0.94,1.03,-0.17,1.62
2382,Kepler-216,Kepler-216 b,2014,7.693641,0.079,,6.12,0.0193,2.35,0.21,0.022,2.59,,1229.44,6091,4.28,0.464,1.11,1.26,-0.04,3.55
2383,Kepler-216,Kepler-216 c,2014,17.406669,0.136,,9.48,0.0298,3.04,0.271,0.028,1.85,,1229.44,6091,4.28,0.464,1.11,1.26,-0.04,3.55
2384,Kepler-217,Kepler-217 b,2014,5.374943,0.065,,5.6,0.0176,2.23,0.199,0.021,2.77,,1140.95,6171,4.03,0.73,1.37,1.8,0.09,2.63
2385,Kepler-217,Kepler-217 c,2014,8.586004,0.089,,4.08,0.0128,1.85,0.165,0.017,3.54,,1140.95,6171,4.03,0.73,1.37,1.8,0.09,2.63
2386,Kepler-217,Kepler-217 d,2016,3.88689525,,,2.3,0.00724,1.32,0.118,0.012,5.5,,1140.95,6171,4.03,0.73,1.37,1.8,0.09,2.63
2387,Kepler-218,Kepler-218 b,2014,3.619337,0.046,,2.79,0.00879,1.48,0.132,0.014,4.73,,669.02,5502,4.39,-0.027,1.01,1.06,0.31,5.62
2388,Kepler-218,Kepler-218 c,2014,44.699576,0.248,,10,0.0315,3.14,0.28,0.029,1.77,,669.02,5502,4.39,-0.027,1.01,1.06,0.31,5.62
2389,Kepler-218,Kepler-218 d,2016,124.5244647,,,7.56,0.0238,2.66,0.237,0.024,2.21,,669.02,5502,4.39,-0.027,1.01,1.06,0.31,5.62
2390,Kepler-219,Kepler-219 b,2014,4.585512,0.057,,9.01,0.0283,2.95,0.263,0.027,1.93,,805.3,5786,4.16,0.196,1.16,1.49,0.21,4.57
2391,Kepler-219,Kepler-219 c,2014,22.714613,0.165,,12.5,0.0394,3.58,0.319,0.033,1.5,,805.3,5786,4.16,0.196,1.16,1.49,0.21,4.57
2392,Kepler-219,Kepler-219 d,2014,47.903645,0.272,,19.1,0.06,2.81,0.251,0.026,4.73,,805.3,5786,4.16,0.196,1.16,1.49,0.21,4.57
2393,Kepler-22,Kepler-22 b,2011,289.8623,0.849,0,36,0.113,2.38,0.212,0.022,14.7,262,190,5518,4.44,-0.102,0.97,0.98,-0.29,7.08
2394,Kepler-220,Kepler-220 b,2014,4.159807,0.046,,0.457,0.00144,0.81,0.072,0.007,4.73,,171.96,4632,4.65,-0.751,0.65,0.67,-0.31,8.32
2395,Kepler-220,Kepler-220 c,2014,9.034199,0.076,,3.09,0.00972,1.57,0.14,0.014,4.39,,171.96,4632,4.65,-0.751,0.65,0.67,-0.31,8.32
2396,Kepler-220,Kepler-220 d,2014,28.122397,0.163,,0.904,0.00284,0.98,0.087,0.009,5.28,,171.96,4632,4.65,-0.751,0.65,0.67,-0.31,8.32
2397,Kepler-220,Kepler-220 e,2014,45.902733,0.226,,2.33,0.00733,1.33,0.119,0.012,5.44,,171.96,4632,4.65,-0.751,0.65,0.67,-0.31,8.32
2398,Kepler-221,Kepler-221 b,2014,2.795906,0.037,,3.57,0.0112,1.71,0.153,0.016,3.92,,389.55,5243,4.54,-0.407,0.87,0.82,-0.02,4.57
2399,Kepler-221,Kepler-221 c,2014,5.690586,0.059,,15.1,0.048,2.93,0.261,0.027,3.3,,389.55,5243,4.54,-0.407,0.87,0.82,-0.02,4.57
2400,Kepler-221,Kepler-221 d,2014,10.04156,0.087,,7.9,0.0249,2.73,0.244,0.025,2.13,,389.55,5243,4.54,-0.407,0.87,0.82,-0.02,4.57
2401,Kepler-221,Kepler-221 e,2014,18.369917,0.13,,7.41,0.0233,2.63,0.235,0.024,2.24,,389.55,5243,4.54,-0.407,0.87,0.82,-0.02,4.57
2402,Kepler-222,Kepler-222 b,2014,3.936981,0.048,,10.1,0.0319,3.16,0.282,0.029,1.76,,775.61,5433,4.55,-0.338,0.88,0.87,0.05,4.79
2403,Kepler-222,Kepler-222 c,2014,10.08881,0.091,,19.4,0.0612,4.64,0.414,0.043,1.07,,775.61,5433,4.55,-0.338,0.88,0.87,0.05,4.79
2404,Kepler-222,Kepler-222 d,2014,28.081912,0.18,,13.2,0.0415,3.69,0.329,0.034,1.44,,775.61,5433,4.55,-0.338,0.88,0.87,0.05,4.79
2405,Kepler-223,Kepler-223 b,2014,7.38449,0.073,0.078,7.4,0.02328,2.99,0.267,0.027,1.54,,1960.49,5234.28,4.46,0.323,1.12,1.72,0.02,4.27
2406,Kepler-223,Kepler-223 c,2014,9.84564,0.088,0.15,5.1,0.01605,3.44,0.307,0.032,0.71,,1960.49,5234.28,4.46,0.323,1.12,1.72,0.02,4.27
2407,Kepler-223,Kepler-223 d,2014,14.78869,0.116,0.037,8,0.02517,5.24,0.467,0.048,0.31,,1960.49,5234.28,4.46,0.323,1.12,1.72,0.02,4.27
2408,Kepler-223,Kepler-223 e,2014,19.72567,0.14,0.051,4.8,0.0151,4.6,0.41,0.042,0.28,,1960.49,5234.28,4.46,0.323,1.12,1.72,0.02,4.27
2409,Kepler-224,Kepler-224 b,2014,3.132924,0.038,,2.51,0.0079,1.39,0.124,0.013,5.14,,799.75,5018,4.64,-0.533,0.78,0.68,-0.27,2.29
2410,Kepler-224,Kepler-224 c,2014,5.925003,0.058,,9.91,0.0312,3.12,0.278,0.029,1.79,,799.75,5018,4.64,-0.533,0.78,0.68,-0.27,2.29
2411,Kepler-224,Kepler-224 d,2014,11.349393,0.089,,5.9,0.0186,2.3,0.205,0.021,2.66,,799.75,5018,4.64,-0.533,0.78,0.68,-0.27,2.29
2412,Kepler-224,Kepler-224 e,2014,18.643577,0.124,,4.54,0.0143,1.97,0.176,0.018,3.26,,799.75,5018,4.64,-0.533,0.78,0.68,-0.27,2.29
2413,Kepler-225,Kepler-225 b,2014,6.738975,0.056,,1.87,0.00588,1.2,0.107,0.011,5.95,465,569.99,3682,4.78,-0.835,0.66,0.48,-0.04,2.88
2414,Kepler-225,Kepler-225 c,2014,18.794234,0.111,,4.04,0.0127,1.84,0.164,0.017,3.56,330,569.99,3682,4.78,-0.835,0.66,0.48,-0.04,2.88
2415,Kepler-226,Kepler-226 b,2014,3.940997,0.047,,24,0.076,1.55,0.138,0.014,35.4,,1008.14,5571,4.59,-0.25,0.89,0.8,-0.03,4.37
2416,Kepler-226,Kepler-226 c,2014,5.349555,0.058,,45.2,0.142,2.27,0.203,0.021,21.2,,1008.14,5571,4.59,-0.25,0.89,0.8,-0.03,4.37
2417,Kepler-226,Kepler-226 d,2014,8.109044,0.076,,1.98,0.00624,1.22,0.109,0.011,5.99,,1008.14,5571,4.59,-0.25,0.89,0.8,-0.03,4.37
2418,Kepler-227,Kepler-227 b,2014,9.488015,0.09,,9.85,0.031,3.11,0.277,0.029,1.8,,1117.5,5854,4.4,-0.145,0.96,1.09,0.06,4.57
2419,Kepler-227,Kepler-227 c,2014,54.418694,0.29,,9.48,0.0298,3.04,0.271,0.028,1.85,,1117.5,5854,4.4,-0.145,0.96,1.09,0.06,4.57
2420,Kepler-228,Kepler-228 b,2014,2.566546,0.038,,2.96,0.0093,1.53,0.136,0.014,4.54,,1724.6,6043,4.47,0.077,0.95,1.01,-0.03,4.07
2421,Kepler-228,Kepler-228 c,2014,4.134444,0.052,,7.75,0.0244,2.7,0.241,0.025,2.16,,1724.6,6043,4.47,0.077,0.95,1.01,-0.03,4.07
2422,Kepler-228,Kepler-228 d,2014,11.094286,0.101,,15.4,0.0483,4.04,0.36,0.037,1.28,,1724.6,6043,4.47,0.077,0.95,1.01,-0.03,4.07
2423,Kepler-229,Kepler-229 b,2014,6.252972,0.062,,5.48,0.0172,2.2,0.196,0.02,2.83,,845.88,5120,4.63,-0.55,0.8,0.73,-0.05,4.9
2424,Kepler-229,Kepler-229 c,2014,16.068638,0.117,,21.5,0.0676,4.92,0.439,0.045,0.992,,845.88,5120,4.63,-0.55,0.8,0.73,-0.05,4.9
2425,Kepler-229,Kepler-229 d,2014,41.194912,0.22,,14.2,0.0445,3.85,0.343,0.035,1.37,,845.88,5120,4.63,-0.55,0.8,0.73,-0.05,4.9
2426,Kepler-23,Kepler-23 b,2011,7.1073,0.075,0.06,254.3,0.8,1.9,0.17,0.017,,,856.34,5828,4.09,0.376,1.1,1.55,0.03,6.61
2427,Kepler-23,Kepler-23 c,2011,10.7421,0.099,0.02,858.1,2.7,3.2,0.285,0.029,,,856.34,5828,4.09,0.376,1.1,1.55,0.03,6.61
2428,Kepler-23,Kepler-23 d,2014,15.274299,0.124,0.08,17.6,0.055,2.2,0.196,0.02,9.08,,856.34,5828,4.09,0.376,1.1,1.55,0.03,6.61
2429,Kepler-230,Kepler-230 b,2014,32.625555,0.191,,16.8,0.0529,4.26,0.38,0.039,1.19,,756.73,5588,4.55,-0.38,0.84,0.82,-0.14,4.37
2430,Kepler-230,Kepler-230 c,2014,91.773242,0.38,,4.82,0.0152,2.04,0.182,0.019,3.12,,756.73,5588,4.55,-0.38,0.84,0.82,-0.14,4.37
2431,Kepler-231,Kepler-231 b,2014,10.065275,0.074,,35.4,0.111,1.73,0.154,0.016,37.6,,319.49,3767,4.78,-1.054,0.59,0.49,-0.1,3.47
2432,Kepler-231,Kepler-231 c,2014,19.271566,0.114,,24.1,0.076,1.93,0.172,0.018,18.4,345,319.49,3767,4.78,-1.054,0.59,0.49,-0.1,3.47
2433,Kepler-232,Kepler-232 b,2014,4.431222,0.054,,9.69,0.0305,3.08,0.275,0.028,1.82,,1402.96,5847,4.5,0.051,0.97,0.97,0.03,4.47
2434,Kepler-232,Kepler-232 c,2014,11.379349,0.101,,14,0.0442,3.83,0.342,0.035,1.37,,1402.96,5847,4.5,0.051,0.97,0.97,0.03,4.47
2435,Kepler-233,Kepler-233 b,2014,8.472382,0.077,,6.48,0.0204,2.43,0.217,0.022,2.48,,877.73,5360,4.61,-0.334,0.84,0.76,-0.09,4.68
2436,Kepler-233,Kepler-233 c,2014,60.418955,0.287,,7.8,0.0245,2.71,0.242,0.025,2.15,,877.73,5360,4.61,-0.334,0.84,0.76,-0.09,4.68
2437,Kepler-234,Kepler-234 b,2014,2.711506,0.04,,13.2,0.0416,3.7,0.33,0.034,1.43,,1821.01,6224,4.42,0.194,1.11,1.11,0.09,3.47
2438,Kepler-234,Kepler-234 c,2014,7.21205,0.077,,12.1,0.0381,3.51,0.313,0.032,1.54,,1821.01,6224,4.42,0.194,1.11,1.11,0.09,3.47
2439,Kepler-235,Kepler-235 b,2014,3.340222,0.037,,5.6,0.0176,2.23,0.199,0.021,4.82,731,433.24,4255,4.73,-1.093,0.51,0.55,-0.51,6
2440,Kepler-235,Kepler-235 c,2014,7.824904,0.065,,2.18,0.00687,1.28,0.114,0.012,4.82,555,433.24,4255,4.73,-1.093,0.51,0.55,-0.51,6
2441,Kepler-235,Kepler-235 d,2014,20.060548,0.122,,4.86,0.0153,2.05,0.183,0.019,4.82,401,433.24,4255,4.73,-1.093,0.51,0.55,-0.51,6
2442,Kepler-235,Kepler-235 e,2014,46.183669,0.213,,5.56,0.0175,2.22,0.198,0.02,4.82,306,433.24,4255,4.73,-1.093,0.51,0.55,-0.51,6
2443,Kepler-236,Kepler-236 b,2014,8.295611,0.065,,3.09,0.00972,1.57,0.14,0.014,4.39,,291.17,3750,4.75,-1.061,0.58,0.51,-0.05,3.16
2444,Kepler-236,Kepler-236 c,2014,23.968127,0.132,,4.66,0.0147,2,0.178,0.018,3.2,325,291.17,3750,4.75,-1.061,0.58,0.51,-0.05,3.16
2445,Kepler-237,Kepler-237 b,2014,4.715106,0.05,,2.57,0.00809,1.41,0.126,0.013,5.04,,670.41,4861,4.58,-0.552,0.81,0.72,0.03,4.27
2446,Kepler-237,Kepler-237 c,2014,8.103636,0.071,,4.98,0.0157,2.08,0.186,0.019,3.04,,670.41,4861,4.58,-0.552,0.81,0.72,0.03,4.27
2447,Kepler-238,Kepler-238 b,2014,2.090876,0.034,,3.64,0.0115,1.73,0.154,0.016,3.86,,1897.73,5751,4.19,0.433,1.06,1.43,0.23,6.76
2448,Kepler-238,Kepler-238 c,2014,6.155557,0.069,,6.3,0.0198,2.39,0.213,0.022,2.54,,1897.73,5751,4.19,0.433,1.06,1.43,0.23,6.76
