hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
HD 211970,HD 211970 b,Radial Velocity,2019,25.201,13,3.66,1.46,13,8.99,V (Johnson),5.663,4127,,-1.065,0.61,0.57,
HD 212301,HD 212301 b,Radial Velocity,2005,2.24571,162.0933,14.2,0.311,54.32,7.764,V (Johnson),6.466,6239,4.5,0.281,1.55,1.16,1
HD 212771,HD 212771 b,Radial Velocity,2009,380.7,759.6137,13.3,1.77,111.51,7.6,V (Johnson),5.496,5003,3.31,1.063,1.56,5.27,1.92
HD 213240,HD 213240 b,Radial Velocity,2001,882.70001,1773.4914,12.8,4.65,40.92,6.814,V (Johnson),5.354,5979,4.27,0.429,1.57,1.51,4.6
HD 213885,HD 213885 b,Transit,2019,1.008035,8.83,1.745,9.15,47.97,7.996,V (Johnson),6.419,5978,4.38,0.139,1.07,1.1,3.8
HD 213885,HD 213885 c,Radial Velocity,2019,4.78503,19.95,4.71,1.05,47.97,7.996,V (Johnson),6.419,5978,4.38,0.139,1.07,1.1,3.8
HD 21411,HD 21411 b,Radial Velocity,2019,84.288,65.9,9.52,0.42,29.16,7.885,V (Johnson),6.131,5605,4.51,-0.266,0.89,0.78,
HD 214823,HD 214823 b,Radial Velocity,2016,1854.4,6451.949,12.1,20,101.66,8.06,V (Johnson),6.64,5933,4.05,0.67,1.31,2.04,4.34
HD 215152,HD 215152 b,Radial Velocity,2018,5.75999,1.819,1.19,5.93,21.61,8.11,V (Johnson),5.775,4935,4.4,-0.523,0.77,0.73,
HD 215152,HD 215152 c,Radial Velocity,2018,7.28243,1.72,1.17,5.9,21.61,8.11,V (Johnson),5.775,4935,4.4,-0.523,0.77,0.73,
HD 215152,HD 215152 d,Radial Velocity,2018,10.86499,2.801,1.48,4.75,21.61,8.11,V (Johnson),5.775,4935,4.4,-0.523,0.77,0.73,
HD 215152,HD 215152 e,Radial Velocity,2018,25.1967,2.877,1.51,4.59,21.61,8.11,V (Johnson),5.775,4935,4.4,-0.523,0.77,0.73,
HD 215497,HD 215497 b,Radial Velocity,2009,3.93404,6.3566,2.4,2.53,40.59,8.96,V (Johnson),6.784,5110,4.4,-0.342,0.67,0.85,7
HD 215497,HD 215497 c,Radial Velocity,2009,567.94,104.3,12.5,0.293,40.59,8.96,V (Johnson),6.784,5110,4.4,-0.342,0.67,0.85,7
HD 216435,HD 216435 b,Radial Velocity,2002,1311,400.4,13.7,0.856,33.01,6.03,V (Johnson),4.612,5999,4.15,0.557,1.3,1.8,3
HD 216437,HD 216437 b,Radial Velocity,2002,1334.28,706.53609,13.3,1.65,26.71,6.057,V (Johnson),4.518,5909,4.19,0.37,1.17,1.39,4.75
HD 216536,HD 216536 b,Radial Velocity,2015,148.60001,333.7215,13.8,0.698,380.33,9.23,V (Johnson),6.496,4639,2.36,1.559,0.81,9.83,3.8
HD 216770,HD 216770 b,Radial Velocity,2003,118.45,181.1631,14.1,0.355,36.7,8.094,V (Johnson),6.311,5399,4.37,-0.15,0.74,0.93,1
HD 21693,HD 21693 b,Radial Velocity,2019,22.6786,8.23,2.8,2.06,32.38,7.95,V (Johnson),6.193,5430,4.37,-0.208,0.8,0.91,
HD 21693,HD 21693 c,Radial Velocity,2019,53.7357,17.37,4.34,1.17,32.38,7.95,V (Johnson),6.193,5430,4.37,-0.208,0.8,0.91,
HD 217107,HD 217107 b,Radial Velocity,1998,7.12682,413.179,13.6,0.903,20.07,6.16,V (Johnson),4.536,5622,4.34,0.1,1,1.11,5.84
HD 217107,HD 217107 c,Radial Velocity,2005,4270,826.32,13.2,1.97,20.07,6.16,V (Johnson),4.536,5622,4.34,0.1,1,1.11,5.84
GJ 143,HD 21749 c,Transit,2019,7.78993,3.7,0.892,31.93,16.33,7.87,V (Johnson),5.375,4640,4.61,-0.686,0.73,0.69,3.8
HD 217786,HD 217786 b,Radial Velocity,2011,1319,4131.62,12.3,12.2,54.8,7.8,V (Johnson),6.352,5966,4.35,0.276,1.02,1.27,7.6
HD 217850,HD 217850 b,Radial Velocity,2018,3501.3,6865.128,12.1,21.3,65.9,8.52,V (Johnson),6.793,5544,,0.1,1.03,1.21,7.59
HD 218566,HD 218566 b,Radial Velocity,2010,225.7,63.566,9.32,0.431,28.85,8.628,V (Johnson),6.223,4730,4.46,-0.458,0.76,0.85,8.5
HD 219077,HD 219077 b,Radial Velocity,2012,5501,3302.11,12.5,9.29,29.21,6.12,V (Johnson),4.287,5362,4,0.425,1.05,1.91,8.9
HD 219134,HD 219134 b,Radial Velocity,2015,3.092926,4.74,1.602,6.34,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219134,HD 219134 c,Radial Velocity,2015,6.76458,4.36,1.511,6.95,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219134,HD 219134 d,Radial Velocity,2015,46.859,16.17,1.61,,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219134,HD 219134 f,Radial Velocity,2015,22.717,7.3,1.31,,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219134,HD 219134 g,Radial Velocity,2015,94.2,10.80622,3.28,1.68,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219134,HD 219134 h,Radial Velocity,2015,2247,108.0622,12.7,0.29,6.53,5.57,V (Johnson),3.261,4699,4.57,-0.577,0.81,0.78,11
HD 219415,HD 219415 b,Radial Velocity,2012,2093.3,317.83,13.8,0.665,165.97,8.94,V (Johnson),6.421,4820,3.51,0.62,1,2.9,7.233
HD 219666,HD 219666 b,Transit,2018,6.03607,16.6,4.71,0.87,94.43,9.65,G (Gaia),8.158,5527,4.4,-0.028,0.92,1.03,10
HD 219828,HD 219828 b,Radial Velocity,2007,3.83492,20.97678,4.85,1.01,73.27,8.04,V (Johnson),6.53,5807,4.17,0.42,1.18,1.61,5.69
HD 219828,HD 219828 c,Radial Velocity,2016,4682,4640.318,12.3,13.7,73.27,8.04,V (Johnson),6.53,5807,4.17,0.42,1.18,1.61,5.69
HD 220074,HD 220074 b,Radial Velocity,2012,672.09998,5288.6912,12.2,16,327.41,6.4,V (Johnson),2.006,3787,1.3,2.894,2.2,54.92,4.5
