hostname,letter,name,discmethod,disc,orbper,bmasse,rade,dens,ra,dec,dist,optmag,optmagband,nirmag,nirmagerr,teff,logg,lum,mass,rad,age
42 Dra,b,42 Dra b,Radial Velocity,2008,479.1,1233.13,13,3.08,276.496399,65.563484,90.86,4.82,V (Johnson),2.085,0.216,4200,1.71,2.155,0.98,22.03,9.49
47 UMa,b,47 UMa b,Radial Velocity,1996,1078,804.08,13.2,1.92,164.866562,40.430256,13.8,5.05,V (Johnson),3.75,0.34,5892,4.27,0.216,1.03,1.23,7.3
47 UMa,c,47 UMa c,Radial Velocity,2001,2391,171.621,14.2,0.329,164.866562,40.430256,13.8,5.05,V (Johnson),3.75,0.34,5892,4.27,0.216,1.03,1.23,7.3
47 UMa,d,47 UMa d,Radial Velocity,2009,14002,521.22,13.5,1.16,164.866562,40.430256,13.8,5.05,V (Johnson),3.75,0.34,5892,4.27,0.216,1.03,1.23,7.3
51 Eri,b,51 Eri b,Imaging,2015,11688,635.66,13.4,1.45,69.400551,-2.473548,29.4,5.23,V (Johnson),4.537,0.024,7190.1,,0.85,1.75,1.56,0.02
51 Peg,b,51 Peg b,Radial Velocity,1995,4.230785,146.2018,14.3,0.275,344.366577,20.768833,15.47,5.5,V (Johnson),3.911,0.021,5793,4.33,0.147,1.12,1.2,4
55 Cnc,b,55 Cnc b,Radial Velocity,1996,14.65152,263.9785,13.9,0.54,133.149216,28.330818,12.59,5.96,V (Johnson),4.015,0.036,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,c,55 Cnc c,Radial Velocity,2004,44.4175,54.4738,8.51,0.486,133.149216,28.330818,12.59,5.96,V (Johnson),4.015,0.036,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,d,55 Cnc d,Radial Velocity,2002,4825,1232.493,13,3.08,133.149216,28.330818,12.59,5.96,V (Johnson),4.015,0.036,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,e,55 Cnc e,Radial Velocity,2004,0.736539,8.08,1.91,6.4,133.149216,28.330818,12.59,5.96,V (Johnson),4.015,0.036,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,f,55 Cnc f,Radial Velocity,2007,262,44.812,7.59,0.563,133.149216,28.330818,12.59,5.96,V (Johnson),4.015,0.036,5196,4.45,-0.235,0.91,0.94,10.2
6 Lyn,b,6 Lyn b,Radial Velocity,2008,934.3,638.8383,13.4,1.46,97.696281,58.162632,54.74,5.86,V (Johnson),3.701,0.3,4938,3.19,1.156,1.44,5.2,2.353
61 Vir,b,61 Vir b,Radial Velocity,2009,4.215,5.1,2.11,2.98,199.601318,-18.311195,8.51,4.74,V (Johnson),2.956,0.236,5577,4.34,-0.095,0.94,0.96,8.96
61 Vir,c,61 Vir c,Radial Velocity,2009,38.021,18.2,4.46,1.13,199.601318,-18.311195,8.51,4.74,V (Johnson),2.956,0.236,5577,4.34,-0.095,0.94,0.96,8.96
61 Vir,d,61 Vir d,Radial Velocity,2009,123.01,22.9,5.11,0.943,199.601318,-18.311195,8.51,4.74,V (Johnson),2.956,0.236,5577,4.34,-0.095,0.94,0.96,8.96
7 CMa,b,7 CMa b,Radial Velocity,2011,735.1,587.9855,13.4,1.34,99.17099,-19.255878,19.82,3.92,V (Johnson),1.564,0.252,4826,3.19,1.063,1.34,4.87,4.3
7 CMa,c,7 CMa c,Radial Velocity,2019,996,276.5121,13.9,0.566,99.17099,-19.255878,19.82,3.92,V (Johnson),1.564,0.252,4826,3.19,1.063,1.34,4.87,4.3
70 Vir,b,70 Vir b,Radial Velocity,1996,116.688,2380.45,12.6,6.54,202.107544,13.778788,17.91,4.97,V (Johnson),3.5,0.294,5495,3.95,0.487,1.09,1.89,7.92
75 Cet,b,75 Cet b,Radial Velocity,2012,691.9,953.49,13.1,2.33,38.039253,-1.034896,83.15,5.35,V (Johnson),3.207,0.272,4846,2.63,1.73,2.49,10.5,
8 UMi,b,8 UMi b,Radial Velocity,2015,93.4,416.3573,13.6,0.91,224.201477,74.900925,163.32,6.83,V (Johnson),4.515,0.02,4847,2.57,1.725,1.44,10.3,1.7
81 Cet,b,81 Cet b,Radial Velocity,2008,952.7,1684.4,12.8,4.41,39.424168,-3.396175,101.53,5.65,V (Johnson),3.266,0.258,4785,2.35,1.778,2.4,11,
91 Aqr,b,91 Aqr b,Radial Velocity,2013,181.4,1017,13.1,2.49,348.9729,-9.087737,44.08,4.25,V (Johnson),1.597,0.236,4665,2.52,1.692,1.4,11,3.56
