hostname,letter,name,discmethod,disc,orbper,bmasse,rade,dens,ra,dec,dist,optmag,optmagband,nirmag,nirmagerr,teff,logg,lum,mass,rad,age
K2-214,b,K2-214 b,Transit,2018,8.596802,6.48,2.43,2.48,14.876077,4.227798,303.28,11.805,V (Johnson),10.223,0.023,5854,4.25,0.196,1.05,1.27,
K2-215,b,K2-215 b,Transit,2018,8.269648,5.16,2.124,2.96,18.470087,6.123902,408.67,12.986,V (Johnson),11.298,0.02,5704,4.41,-0.026,1,0.97,
K2-216,b,K2-216 b,Transit,2018,2.1748,8,1.75,8.2,11.480249,6.346971,115.84,12.476,V (Johnson),9.721,0.018,4503,4.57,-0.721,0.7,0.72,
K2-217,b,K2-217 b,Transit,2018,14.074524,12.5,3.579,1.5,11.298392,6.481562,386.01,12.187,V (Johnson),10.679,0.02,5967,4.17,0.232,1.1,1.33,
K2-218,b,K2-218 b,Transit,2018,8.679885,7.13,2.569,2.31,12.809659,6.84646,398.41,12.876,V (Johnson),11.206,0.024,5757,4.45,-0.003,1.05,1.01,
K2-219,b,K2-219 b,Transit,2018,3.901287,2.38,1.348,5.34,12.845309,8.86764,328.42,12.09,V (Johnson),10.424,0.021,5753,4.23,0.151,1.02,1.19,
K2-219,c,K2-219 c,Transit,2018,6.66767,2.66,1.438,4.91,12.845309,8.86764,328.42,12.09,V (Johnson),10.424,0.021,5753,4.23,0.151,1.02,1.19,
K2-219,d,K2-219 d,Transit,2018,11.137278,7.16,2.576,2.3,12.845309,8.86764,328.42,12.09,V (Johnson),10.424,0.021,5753,4.23,0.151,1.02,1.19,
K2-22,b,K2-22 b,Transit,2015,0.381078,444.962,2.5,,169.482819,2.61907,245.53,15.597,V (Johnson),11.924,0.026,3830,4.65,-1.074,0.6,0.57,
K2-220,b,K2-220 b,Transit,2018,13.683256,6.3,2.39,2.54,12.769862,9.516806,234.92,11.89,V (Johnson),10.161,0.021,5660,4.4,-0.061,0.96,1.02,
K2-221,b,K2-221 b,Transit,2018,2.399094,3.46,1.679,4.02,16.654982,10.189687,321.63,12.703,V (Johnson),10.852,0.023,5716,4.57,-0.064,1.01,0.95,
K2-222,b,K2-222 b,Transit,2018,15.387063,6.3,2.39,2.54,16.46228,11.753423,101.59,9.543,V (Johnson),8.105,0.017,6058,4.37,0.139,1,1.09,
K2-223,b,K2-223 b,Transit,2018,0.50565,0.64,0.89,4.99,185.306152,-10.282037,201.1,11.431,V (Johnson),9.835,0.024,5835,4.48,-0.035,1.06,0.99,
K2-223,c,K2-223 c,Transit,2018,4.56327,3.09,1.57,4.39,185.306152,-10.282037,201.1,11.431,V (Johnson),9.835,0.024,5835,4.48,-0.035,1.06,0.99,
K2-224,b,K2-224 b,Transit,2018,4.47904,3.05,1.56,4.41,189.704086,-10.060654,277.7,12.682,V (Johnson),10.94,0.019,5620,4.55,-0.241,0.91,0.84,
K2-224,c,K2-224 c,Transit,2018,10.09489,6.39,2.41,2.51,189.704086,-10.060654,277.7,12.682,V (Johnson),10.94,0.019,5620,4.55,-0.241,0.91,0.84,
K2-225,b,K2-225 b,Transit,2018,15.87209,12,3.49,1.55,186.54129,-9.624804,360.3,11.836,V (Johnson),9.954,0.023,5742,4.08,0.395,1.27,1.7,
K2-226,b,K2-226 b,Transit,2018,3.27108,2.99,1.54,4.5,183.645752,-9.562642,211.2,12.308,V (Johnson),10.223,0.023,5424,4.47,-0.276,0.88,0.91,
K2-227,b,K2-227 b,Transit,2018,13.621832,3.41,1.666,4.06,190.948471,-8.478236,188.22,12.015,V (Johnson),10.005,0.021,5673,4.58,-0.167,0.95,0.89,
K2-228,b,K2-228 b,Transit,2018,2.69828,1.92,1.21,5.96,187.294785,-6.834258,142.4,12.995,V (Johnson),10.324,0.024,4715,4.66,-0.725,0.71,0.65,
K2-229,b,K2-229 b,Transit,2018,0.58426,2.49,1.14,8.9,186.87326,-6.721861,103.8,10.985,V (Johnson),9.05,0.023,5315,4.59,-0.389,0.87,0.79,5.4
K2-229,c,K2-229 c,Transit,2018,8.32727,21.3,2.03,12.8,186.87326,-6.721861,103.8,10.985,V (Johnson),9.05,0.023,5315,4.59,-0.389,0.87,0.79,5.4
K2-230,b,K2-230 b,Transit,2018,2.86041,4.5,1.96,3.28,191.363205,-6.576109,548.9,12.707,V (Johnson),11.257,0.025,5945,4.2,0.317,1.11,1.39,
K2-231,b,K2-231 b,Transit,2018,13.841901,6.8,2.5,2.39,289.091827,-15.771108,295,12.708,V (Johnson),10.859,0.023,5695,4.48,-0.112,1.01,0.95,3
K2-232,b,K2-232 b,Transit,2018,11.168454,126.49634,11.209,0.405,73.76651,18.654535,131.21,9.899,V (Johnson),8.434,0.017,6154,4.38,0.238,1.19,1.16,1.43
K2-233,b,K2-233 b,Transit,2018,2.46746,2.54,1.398,5.11,230.47998,-20.231684,67.64,10.726,V (Johnson),8.375,0.023,4950,4.71,-0.523,0.8,0.74,0.36
K2-233,c,K2-233 c,Transit,2018,7.06142,2.34,1.335,5.4,230.47998,-20.231684,67.64,10.726,V (Johnson),8.375,0.023,4950,4.71,-0.523,0.8,0.74,0.36
K2-233,d,K2-233 d,Transit,2018,24.3662,7.46,2.64,2.23,230.47998,-20.231684,67.64,10.726,V (Johnson),8.375,0.023,4950,4.71,-0.523,0.8,0.74,0.36
K2-237,b,K2-237 b,Transit,2018,2.1805577,392.83788,18.405,0.37,253.76889,-28.710564,309.5,11.601,V (Johnson),10.217,0.023,6099,4.27,0.285,1.23,1.38,2.55
K2-238,b,K2-238 b,Transit,2018,3.20466,273.3338,14.572,0.56,347.704346,-7.857499,453,13.748,V (Johnson),12.032,0.033,5630,4.11,0.36,1.19,1.59,5.63
K2-239,b,K2-239 b,Transit,2018,5.24,1.37,1.1,5.66,160.594299,4.441349,49,14.549,V (Johnson),9.971,0.021,3420,4.9,-1.796,0.4,0.36,
K2-239,c,K2-239 c,Transit,2018,7.775,0.972,1,5.34,160.594299,4.441349,49,14.549,V (Johnson),9.971,0.021,3420,4.9,-1.796,0.4,0.36,
K2-239,d,K2-239 d,Transit,2018,10.115,1.37,1.1,5.66,160.594299,4.441349,49,14.549,V (Johnson),9.971,0.021,3420,4.9,-1.796,0.4,0.36,
K2-24,b,K2-24 b,Transit,2016,20.88977,19,5.4,0.64,242.573715,-24.990332,171.39,11.07,V (Johnson),9.18,0.021,5625,4.29,0.005,1.07,1.16,5.1
K2-24,c,K2-24 c,Transit,2016,42.3391,15.4,7.5,0.2,242.573715,-24.990332,171.39,11.07,V (Johnson),9.18,0.021,5625,4.29,0.005,1.07,1.16,5.1
K2-240,b,K2-240 b,Transit,2018,6.034,4.66,2,3.2,227.849609,-17.875217,70,13.392,V (Johnson),9.56,0.023,3810,4.7,-1.276,0.58,0.54,
K2-240,c,K2-240 c,Transit,2018,20.523,3.89,1.8,3.67,227.849609,-17.875217,70,13.392,V (Johnson),9.56,0.023,3810,4.7,-1.276,0.58,0.54,
K2-241,b,K2-241 b,Transit,2018,26.8199,7.04,2.55,2.33,181.239365,-6.804924,149.6,11.97,V (Johnson),9.933,0.023,5262,4.54,-0.446,0.71,0.75,
K2-242,b,K2-242 b,Transit,2018,6.51389,6.99,2.54,2.34,179.835907,-6.517851,109.6,16.588,V (Johnson),11.777,0.024,3459,4.89,-1.75,0.38,0.37,
K2-243,b,K2-243 b,Transit,2018,11.54182,5.35,2.17,2.88,181.121399,-4.899185,269.2,10.97,V (Johnson),9.591,0.021,6570,4.26,0.427,1.29,1.39,
K2-243,c,K2-243 c,Transit,2018,24.94598,4.7,2.01,3.18,181.121399,-4.899185,269.2,10.97,V (Johnson),9.591,0.021,6570,4.26,0.427,1.29,1.39,
K2-244,b,K2-244 b,Transit,2018,21.06884,3.71,1.75,3.8,183.468918,-3.831868,214,11.78,V (Johnson),10.163,0.023,5677,4.44,-0.118,0.86,0.92,
K2-245,b,K2-245 b,Transit,2018,11.89307,17.4,4.34,1.17,185.181686,-1.590889,463.4,12.212,V (Johnson),11.158,0.023,5793,4.16,0.172,0.83,1.25,
K2-246,b,K2-246 b,Transit,2018,5.76918,12,3.49,1.55,181.629715,-1.16056,723.1,14.55,V (Johnson),12.788,0.03,5610,4.43,-0.151,0.87,0.94,
K2-247,b,K2-247 b,Transit,2018,2.25021,5.14,2.12,2.96,188.893692,-10.069232,260.2,14.956,V (Johnson),11.556,0.027,4667,4.63,-0.882,0.74,0.69,
K2-247,c,K2-247 c,Transit,2018,6.49424,5.43,2.19,2.84,188.893692,-10.069232,260.2,14.956,V (Johnson),11.556,0.027,4667,4.63,-0.882,0.74,0.69,
K2-248,b,K2-248 b,Transit,2018,7.17256,7.13,2.57,2.31,182.817245,-9.414005,410.5,13.402,V (Johnson),11.643,0.026,5528,4.45,-0.189,0.88,0.92,
K2-249,b,K2-249 b,Transit,2018,12.409,8.2,2.79,2.07,183.366669,-8.995114,528.3,11.827,V (Johnson),10.883,0.021,6504,4.16,0.336,1.32,1.57,
K2-25,b,K2-25 b,Transit,2015,3.484552,11.6,3.43,1.58,63.273434,15.247763,45.01,15.881,V (Johnson),10.444,0.019,3180,,-2.076,0.29,0.29,
K2-250,b,K2-250 b,Transit,2018,4.01457,6.53,2.44,2.47,185.031769,-8.975785,417.6,14.267,V (Johnson),12.016,0.024,5172,4.53,-0.426,0.8,0.81,
K2-251,b,K2-251 b,Transit,2018,9.30075,6.12,2.35,2.59,190.689224,-8.53592,147.7,15.621,V (Johnson),11.515,0.024,3717,4.76,-1.342,0.52,0.49,
K2-252,b,K2-252 b,Transit,2018,13.81513,3.68,1.74,3.84,182.366364,-8.30952,229.9,12.847,V (Johnson),10.683,0.021,5152,4.5,-0.408,0.79,0.82,
K2-253,b,K2-253 b,Transit,2018,4.00167,,12.67,,186.085403,-6.378884,901.8,14.868,V (Johnson),12.947,0.033,6027,4.39,-0.077,1.08,1.1,
K2-254,b,K2-254 b,Transit,2018,4.09639,3.29,1.63,4.17,185.550751,-4.717236,229.4,14.183,V (Johnson),11.296,0.021,4629,4.64,-0.822,0.71,0.67,
K2-254,c,K2-254 c,Transit,2018,12.11839,5.43,2.19,2.84,185.550751,-4.717236,229.4,14.183,V (Johnson),11.296,0.021,4629,4.64,-0.822,0.71,0.67,
K2-255,b,K2-255 b,Transit,2018,1.96417,8.75,2.9,1.97,189.912994,-3.370542,192.4,13.756,V (Johnson),10.827,0.025,4676,4.62,-0.79,0.71,0.69,
K2-256,b,K2-256 b,Transit,2018,5.52011,7.41,2.63,2.24,186.227158,-2.065931,580.5,14.939,V (Johnson),12.82,0.024,5219,4.58,-0.469,0.84,0.78,
K2-257,b,K2-257 b,Transit,2018,1.60588,0.498,0.83,4.79,188.278488,-1.953159,64.1,13.716,V (Johnson),9.661,0.019,3725,4.76,-1.36,0.52,0.5,
K2-258,b,K2-258 b,Transit,2018,19.0921,9.27,3,1.89,187.631332,-1.16092,675.2,13.298,V (Johnson),11.782,0.021,6351,4.29,0.272,1.21,1.31,
K2-259,b,K2-259 b,Transit,2018,15.48043,5.99,2.32,2.64,186.802689,1.566849,422.1,12.536,V (Johnson),11.115,0.026,6059,4.39,0.167,1.14,1.13,
K2-26,b,K2-26 b,Transit,2016,14.5665,7.61,2.67,2.2,94.206581,24.596411,99.33,14.53,V (Johnson),10.53,0.018,3785,4.75,-1.31,0.56,0.52,1
K2-260,b,K2-260 b,Transit,2018,2.6266657,451.3186,17.396,0.5,76.867325,16.867718,676.32,12.689,V (Johnson),11.093,0.021,6367,4.15,0.543,1.39,1.69,1.9
K2-261,b,K2-261 b,Transit,2018,11.63344,70.87609,9.528,0.483,163.032425,0.493352,214.58,10.612,V (Johnson),8.89,0.022,5537,4.21,0.372,1.1,1.65,8.8
K2-263,b,K2-263 b,Transit,2018,50.818947,14.8,2.41,5.7,129.682388,15.680626,163.23,11.606,V (Johnson),9.748,0.02,5368,4.51,-0.26,0.88,0.85,7
K2-264,b,K2-264 b,Transit,2018,5.840002,5.61,2.231,2.78,131.358566,19.698462,187,15.662,G (Gaia),12.183,0.02,3660,4.78,-1.45,0.5,0.47,
K2-264,c,K2-264 c,Transit,2018,19.660302,7.6,2.668,2.2,131.358566,19.698462,187,15.662,G (Gaia),12.183,0.02,3660,4.78,-1.45,0.5,0.47,
K2-265,b,K2-265 b,Transit,2018,2.369172,6.54,1.71,7.1,342.031525,-14.494689,139.22,11.102,V (Johnson),9.259,0.027,5477,4.42,-0.197,0.92,0.98,9.7
K2-266,b,K2-266 b,Transit,2018,0.658524,11.26782,3.3,1.77,157.93544,0.937571,77.16,11.808,V (Johnson),8.897,0.023,4285,4.58,-0.823,0.69,0.7,
K2-266,c,K2-266 c,Transit,2018,7.814,0.29013,0.705,4.51,157.93544,0.937571,77.16,11.808,V (Johnson),8.897,0.023,4285,4.58,-0.823,0.69,0.7,
K2-266,d,K2-266 d,Transit,2018,14.697,8.9,2.93,2.03,157.93544,0.937571,77.16,11.808,V (Johnson),8.897,0.023,4285,4.58,-0.823,0.69,0.7,
K2-266,e,K2-266 e,Transit,2018,19.482,14.3,2.73,2.21,157.93544,0.937571,77.16,11.808,V (Johnson),8.897,0.023,4285,4.58,-0.823,0.69,0.7,
K2-268,b,K2-268 b,Transit,2018,2.151894,2.57,1.41,5.04,133.709549,11.848265,331.46,13.853,V (Johnson),11.639,0.023,5068,4.59,-0.471,0.84,0.78,
K2-268,c,K2-268 c,Transit,2018,9.326841,7.7,2.69,2.17,133.709549,11.848265,331.46,13.853,V (Johnson),11.639,0.023,5068,4.59,-0.471,0.84,0.78,
K2-269,b,K2-269 b,Transit,2018,4.144965,3.09,1.57,4.39,130.155167,13.014676,362.07,11.784,V (Johnson),10.212,0.022,6209,4.18,0.436,1.16,1.45,
K2-27,b,K2-27 b,Transit,2016,6.771315,30.9,4.48,1.87,171.515167,1.230738,251.43,12.64,V (Johnson),10.704,0.024,5248,4.48,-0.274,0.87,0.89,10.3
K2-270,b,K2-270 b,Transit,2018,1.543069,2.48,1.38,5.19,131.266602,13.549833,283.53,13.782,V (Johnson),11.368,0.021,4877,4.59,-0.558,0.85,0.77,
K2-270,c,K2-270 c,Transit,2018,4.400028,9.01,2.95,1.93,131.266602,13.549833,283.53,13.782,V (Johnson),11.368,0.021,4877,4.59,-0.558,0.85,0.77,
K2-271,b,K2-271 b,Transit,2018,8.562421,41.8,7.28,0.595,125.223885,16.090946,571.47,13.827,V (Johnson),12.154,0.021,5644,4.37,-0.073,0.83,0.99,
K2-272,b,K2-272 b,Transit,2018,14.453533,8.8,2.91,1.96,132.621124,17.542444,426.57,13.841,V (Johnson),12,0.018,5419,4.53,-0.316,0.81,0.81,
K2-273,b,K2-273 b,Transit,2018,11.716332,17.9,4.42,1.14,129.777054,19.010023,310.6,13.371,V (Johnson),11.3,0.021,5200,4.55,-0.36,0.9,0.84,
K2-274,b,K2-274 b,Transit,2018,14.129714,5.48,2.2,2.83,129.28244,20.399372,232.82,13.086,V (Johnson),10.986,0.019,5065,4.61,-0.52,0.81,0.74,
K2-275,b,K2-275 b,Transit,2018,3.280961,5.65,2.24,2.76,132.169891,20.455076,124.09,12.063,V (Johnson),9.749,0.024,4812,4.61,-0.609,0.79,0.73,
K2-275,c,K2-275 c,Transit,2018,8.438756,6.08,2.34,2.61,132.169891,20.455076,124.09,12.063,V (Johnson),9.749,0.024,4812,4.61,-0.609,0.79,0.73,
K2-276,b,K2-276 b,Transit,2018,18.718269,13.7,3.77,1.4,125.952751,22.634024,489.88,14.627,V (Johnson),12.26,0.022,5139,4.49,-0.443,0.82,0.85,
K2-277,b,K2-277 b,Transit,2018,6.326763,4.94,2.07,3.06,202.016632,-15.93782,113.53,10.364,V (Johnson),8.687,0.024,5741,4.48,-0.063,1.02,0.97,
K2-278,b,K2-278 b,Transit,2018,3.334966,9.17,2.98,1.9,203.301773,-14.504056,804.13,13.412,V (Johnson),11.701,0.026,6747,4.17,0.394,1.4,1.61,
K2-279,b,K2-279 b,Transit,2018,7.122605,1.92,1.21,5.96,204.779724,-6.041594,183.8,11.491,V (Johnson),9.994,0.024,5558,4.46,-0.224,0.79,0.86,
K2-28,b,K2-28 b,Transit,2016,2.260455,5.99,2.32,2.64,335.62439,-7.955366,63.11,16.061,V (Johnson),10.746,0.023,3214,4.93,-2.1,0.26,0.29,
K2-280,b,K2-280 b,Transit,2018,19.895202,45.6,7.67,0.555,291.595337,-22.247662,396.9,12.536,V (Johnson),10.765,0.019,5742,4.26,0.14,1.11,1.28,
K2-281,b,K2-281 b,Transit,2018,8.687721,50.9,8.18,0.511,16.22735,7.269234,466.11,15.117,V (Johnson),12.523,0.029,4812,4.59,-0.647,0.82,0.76,
K2-282,b,K2-282 b,Transit,2018,4.169836,8.35,2.82,2.05,13.432017,7.995316,502.28,14.042,V (Johnson),12.002,0.021,5523,4.47,-0.215,0.94,0.94,
K2-283,b,K2-283 b,Transit,2018,1.921036,12.2,3.52,1.54,13.194414,9.692924,408.24,14.445,V (Johnson),11.983,0.023,5060,4.56,-0.524,0.89,0.82,
K2-284,b,K2-284 b,Transit,2018,4.795069,8.15,2.78,2.08,79.140686,20.255108,107.6,13.322,V (Johnson),10.058,0.018,4140,4.67,-1.013,0.63,0.61,0.12
K2-285,b,K2-285 b,Transit,2018,3.471745,9.68,2.59,3.07,349.384277,1.30029,155.65,12.03,V (Johnson),9.971,0.022,4975,4.4,-0.422,0.83,0.79,
K2-285,c,K2-285 c,Transit,2018,7.138048,15.68,3.53,1.95,349.384277,1.30029,155.65,12.03,V (Johnson),9.971,0.022,4975,4.4,-0.422,0.83,0.79,
K2-285,d,K2-285 d,Transit,2018,10.45582,6.5,2.48,,349.384277,1.30029,155.65,12.03,V (Johnson),9.971,0.022,4975,4.4,-0.422,0.83,0.79,
K2-285,e,K2-285 e,Transit,2018,14.76289,10.7,1.95,,349.384277,1.30029,155.65,12.03,V (Johnson),9.971,0.022,4975,4.4,-0.422,0.83,0.79,
K2-286,b,K2-286 b,Transit,2018,27.359,5.06,2.1,3,233.369568,-16.773256,76.32,12.763,V (Johnson),9.317,0.02,3926,4.7,-1.046,0.64,0.62,
K2-287,b,K2-287 b,Transit,2018,14.893291,100.11645,9.494,0.643,233.074341,-22.358261,159.05,11.41,V (Johnson),9.188,0.021,5695,4.4,-0.108,1.06,1.07,4.5
K2-288 B,b,K2-288 B b,Transit,2018,31.393463,4.27,1.9,3.42,55.443439,18.268902,65.72,13.868,V (Johnson),9.724,0.018,3341,4.96,-1.93,0.33,0.32,1
K2-289,b,K2-289 b,Transit,2019,13.156969,61,9.1,0.445,246.643036,-15.792386,270.7,14.465,V (Johnson),10.641,0.021,5529,4.39,-0.505,0.95,1.02,
K2-29,b,K2-29 b,Transit,2016,3.2588321,232.0159,13.339,0.53,62.670647,24.402042,179.39,12.526,V (Johnson),10.062,0.034,5358,4.54,-0.453,0.94,0.86,2.6
K2-290,b,K2-290 b,Transit,2019,9.21165,10.9,3.06,4.1,234.857773,-20.198818,274.99,11.114,V (Johnson),9.42,0.019,6302,4.23,0.42,1.19,1.51,4
K2-290,c,K2-290 c,Transit,2019,48.36685,246.00042,11.276,1.01,234.857773,-20.198818,274.99,11.114,V (Johnson),9.42,0.019,6302,4.23,0.42,1.19,1.51,4
K2-291,b,K2-291 b,Transit,2019,2.225177,6.49,1.589,8.84,76.445793,21.54863,90.29,10.014,V (Johnson),8.353,0.02,5520,4.5,-0.166,0.93,0.9,3.72
K2-293,b,K2-293 b,Transit,2019,13.1225,6.57,2.45,2.45,351.606354,-6.027876,396.64,13.357,V (Johnson),11.544,0.023,5532,4.52,-0.18,0.96,0.95,
K2-294,b,K2-294 b,Transit,2019,2.50387,3.39,1.66,4.07,352.051666,-7.60369,377.04,12.502,V (Johnson),10.859,0.021,5612,4.2,0.088,0.99,1.2,
K2-295,b,K2-295 b,Transit,2018,4.024867,106.47305,10.054,0.612,19.6099,6.816871,225.7,13.946,V (Johnson),11.135,0.025,4444,4.63,-0.716,0.74,0.7,
K2-3,b,K2-3 b,Transit,2015,10.05449,8.1,2.18,4.32,172.334946,-1.454787,44.13,12.17,V (Johnson),8.561,0.023,3896,4.72,-1.19,0.6,0.56,1
K2-3,c,K2-3 c,Transit,2015,24.64354,2.1,1.85,1.82,172.334946,-1.454787,44.13,12.17,V (Johnson),8.561,0.023,3896,4.72,-1.19,0.6,0.56,1
K2-3,d,K2-3 d,Transit,2015,44.55983,7.5,1.51,17.5,172.334946,-1.454787,44.13,12.17,V (Johnson),8.561,0.023,3896,4.72,-1.19,0.6,0.56,1
K2-30,b,K2-30 b,Transit,2016,4.098503,184.02357,11.646,0.64,52.341961,22.299404,336.26,13.53,V (Johnson),11.088,0.02,5425,4.54,-0.256,0.9,0.84,3.9
K2-308,b,K2-308 b,Transit,2019,3.38628,70.6,9.916,0.398,78.339134,16.414202,,14.963,V (Johnson),13.206,0.028,6100,3.94,0.283,1.09,1.24,
K2-31,b,K2-31 b,Transit,2016,1.25785,563.83042,11.882,1.85,245.44075,-23.547865,110.87,10.775,V (Johnson),8.866,0.019,5280,4.6,-0.231,0.91,0.78,
K2-32,b,K2-32 b,Transit,2016,8.991828,16.5,4.96,0.67,252.426086,-19.542822,158.39,12.31,V (Johnson),9.821,0.019,5415,4.49,-0.488,0.86,0.84,7.9
K2-32,c,K2-32 c,Transit,2016,20.66186,12.1,2.74,2.7,252.426086,-19.542822,158.39,12.31,V (Johnson),9.821,0.019,5415,4.49,-0.488,0.86,0.84,7.9
K2-32,d,K2-32 d,Transit,2016,31.7142,10.3,3.27,1.38,252.426086,-19.542822,158.39,12.31,V (Johnson),9.821,0.019,5415,4.49,-0.488,0.86,0.84,7.9
K2-32,e,K2-32 e,Transit,2019,4.34882,1.01,1.01,5.39,252.426086,-19.542822,158.39,12.31,V (Johnson),9.821,0.019,5415,4.49,-0.488,0.86,0.84,7.9
K2-33,b,K2-33 b,Transit,2016,5.424865,1175.971,5.04,,242.561401,-19.319273,139.8,15.714,V (Johnson),10.026,0.019,3540,3.84,-0.824,0.56,1.05,0.009
K2-34,b,K2-34 b,Transit,2016,2.995633,539.67534,13.96,0.94,127.578773,22.235909,352.34,11.548,V (Johnson),10.193,0.017,6071,4.18,0.385,1.15,1.44,2.88
K2-35,b,K2-35 b,Transit,2016,5.608352,4.38,1.93,3.35,170.103088,1.285956,254.43,14.35,V (Johnson),11.423,0.021,4402.71,4.7,-0.803,0.7,0.62,
K2-35,c,K2-35 c,Transit,2016,2.399964,2.3,1.32,5.5,170.103088,1.285956,254.43,14.35,V (Johnson),11.423,0.021,4402.71,4.7,-0.803,0.7,0.62,
K2-36,b,K2-36 b,Transit,2016,1.422614,3.9,1.43,7.2,169.449066,3.866393,110.09,11.8,V (Johnson),9.454,0.025,4916,4.62,-0.57,0.79,0.72,1.4
K2-36,c,K2-36 c,Transit,2016,5.340888,7.8,3.2,1.3,169.449066,3.866393,110.09,11.8,V (Johnson),9.454,0.025,4916,4.62,-0.57,0.79,0.72,1.4
K2-37,b,K2-37 b,Transit,2016,4.44117,3.22,1.61,4.24,243.451004,-24.787062,180.86,12.52,V (Johnson),10.142,0.021,5413,4.52,-0.469,0.9,0.85,
K2-37,c,K2-37 c,Transit,2016,6.42904,8,2.75,2.11,243.451004,-24.787062,180.86,12.52,V (Johnson),10.142,0.021,5413,4.52,-0.469,0.9,0.85,
K2-37,d,K2-37 d,Transit,2016,14.09189,7.9,2.73,2.13,243.451004,-24.787062,180.86,12.52,V (Johnson),10.142,0.021,5413,4.52,-0.469,0.9,0.85,
K2-38,b,K2-38 b,Transit,2016,4.01593,19.0698,1.906,17.5,240.033585,-23.189287,193.71,11.39,V (Johnson),9.47,0.021,5757,4.35,0,2.24,1.38,
K2-38,c,K2-38 c,Transit,2016,10.56103,9.9,2.42,3.6,240.033585,-23.189287,193.71,11.39,V (Johnson),9.47,0.021,5757,4.35,0,2.24,1.38,
K2-39,b,K2-39 b,Transit,2016,4.60543,28.6047,6.277,0.5,338.368378,-9.022769,310.14,10.83,V (Johnson),8.516,0.024,4881,3.44,0.674,0.66,2.97,3.09
K2-4,b,K2-4 b,Transit,2015,10.003417,5.06,2.1,3,174.745636,-3.905585,233.37,14.907,V (Johnson),11.571,0.023,4014.73,4.85,-0.986,0.64,0.57,
K2-42,b,K2-42 b,Transit,2016,6.68796,5.27,2.15,2.91,176.665726,-5.171913,401.36,15.023,V (Johnson),12.284,0.019,4613,4.66,-0.703,0.7,0.64,
K2-43,b,K2-43 b,Transit,2016,3.471149,18.5,4.51,1.11,169.117142,-3.97544,183.48,15.596,V (Johnson),11.577,0.024,3840.6,4.7,-1.212,0.57,0.54,
K2-43,c,K2-43 c,Transit,2019,2.198884,6.44,2.42,2.5,169.117142,-3.97544,183.48,15.596,V (Johnson),11.577,0.024,3840.6,4.7,-1.212,0.57,0.54,
K2-44,b,K2-44 b,Transit,2016,5.65688,7.85,2.72,2.14,174.011627,-2.520881,483.19,12.189,V (Johnson),10.693,0.024,5912,4.1,0.43,1.15,1.58,
K2-45,b,K2-45 b,Transit,2016,1.7292684,36.4,6.71,0.662,169.632874,-1.77413,502.34,15.78,V (Johnson),12.756,0.033,4103,4.82,-0.74,0.5,0.45,
K2-46,b,K2-46 b,Transit,2016,19.1541,4.86,2.05,3.1,174.266342,-0.907261,454.93,12.029,V (Johnson),10.781,0.024,6256,4.2,0.413,0.96,1.29,
K2-47,b,K2-47 b,Transit,2016,31.6372,4.23,1.89,3.44,168.582596,2.780711,353.38,14.085,V (Johnson),11.735,0.027,5054,4.54,-0.482,0.75,0.76,
K2-48,b,K2-48 b,Transit,2016,20.5065,5.65,2.24,2.76,176.12355,3.272425,316.61,14.277,V (Johnson),11.838,0.027,4899,4.6,-0.657,0.77,0.73,
K2-49,b,K2-49 b,Transit,2016,2.77065,4.38,1.93,3.35,177.320206,3.475569,463.06,15.668,V (Johnson),12.729,0.03,4175,4.81,-0.774,0.51,0.45,
K2-5,b,K2-5 b,Transit,2015,5.73594,4.31,1.91,3.4,169.303497,-1.877976,204.12,14.91,V (Johnson),11.595,0.023,3930,4.71,-1.083,0.61,0.57,
K2-5,c,K2-5 c,Transit,2015,10.93241,5.73,2.26,2.73,169.303497,-1.877976,204.12,14.91,V (Johnson),11.595,0.023,3930,4.71,-1.083,0.61,0.57,
K2-50,b,K2-50 b,Transit,2016,8.7529,3.15,1.59,4.31,169.483627,5.988378,259.33,14.717,V (Johnson),11.664,0.023,4326,4.74,-0.874,0.61,0.63,
K2-52,b,K2-52 b,Transit,2016,3.535055,45700,18,43.1,246.61142,-24.969948,1041.7,15.255,G (Gaia),11.853,0.019,7147,3.98,0.027,1.69,2.19,
K2-53,b,K2-53 b,Transit,2016,12.20772,7.27,2.6,2.27,244.141815,-20.400534,139.1,12.148,G (Gaia),9.664,0.021,5263,4.55,-0.633,0.85,0.81,
K2-54,b,K2-54 b,Transit,2016,9.7843,1.6,1.15,5.78,338.054199,-17.543995,175.84,14.042,V (Johnson),11.075,0.043,3798,4.89,-1.011,0.42,0.38,
K2-55,b,K2-55 b,Transit,2016,2.849258,14,3.82,1.38,333.751923,-17.250708,160.26,13.546,V (Johnson),10.471,0.025,4456,4.67,-0.821,0.7,0.63,
K2-57,b,K2-57 b,Transit,2016,9.0063,5.06,2.1,3,342.691711,-14.069886,266.23,14.501,V (Johnson),11.645,0.023,4434,4.68,-0.83,0.68,0.62,
K2-58,b,K2-58 b,Transit,2016,7.05254,7.65,2.68,2.18,333.821808,-14.049808,182.69,12.378,V (Johnson),10.215,0.021,5413,4.52,-0.412,0.89,0.86,
K2-58,c,K2-58 c,Transit,2016,2.53726,3.26,1.62,4.21,333.821808,-14.049808,182.69,12.378,V (Johnson),10.215,0.021,5413,4.52,-0.412,0.89,0.86,
