host_star_name,exoplanet_name,disc_year,earth_mass,earth_radii,solar_mass,solar_rad,dist_parsec,orbital_period
GJ 3138,GJ 3138 d,2017,10.5,3.23,0.68,0.5,28.49,257.8
GJ 317,GJ 317 b,2007,794.5,13.3,0.42,,15.1,692
GJ 317,GJ 317 c,2018,489.4582,13.5,0.42,,15.1,5312
GJ 328,GJ 328 b,2013,731,13.3,0.69,0.67,20.54,4100
GJ 3293,GJ 3293 b,2015,23.54,5.19,0.42,0.4,20.2,30.5987
GJ 3293,GJ 3293 c,2015,21.09,4.87,0.42,0.4,20.2,122.6196
GJ 3293,GJ 3293 d,2017,7.6,2.67,0.42,0.4,20.2,48.1345
GJ 3293,GJ 3293 e,2017,3.28,1.63,0.42,0.4,20.2,13.2543
GJ 3323,GJ 3323 b,2017,2.02,1.23,0.16,0.12,5.32,5.3636
GJ 3323,GJ 3323 c,2017,2.31,1.32,0.16,0.12,5.32,40.54
GJ 3341,GJ 3341 b,2015,6.6,2.46,0.47,0.44,23.16,14.207
GJ 3470,GJ 3470 b,2012,13.9,4.57,0.54,0.55,29.45,3.3366496
GJ 3512,GJ 3512 b,2019,147.15529,14.3,0.12,0.14,9.49,203.59
GJ 357,GJ 357 b,2019,1.84,1.217,0.34,0.34,9.44,3.93072
GJ 357,GJ 357 c,2019,3.4,1.66,0.34,0.34,9.44,9.1247
GJ 357,GJ 357 d,2019,6.1,2.34,0.34,0.34,9.44,55.661
GJ 3634,GJ 3634 b,2010,8.4,2.83,0.45,0.43,19.8,2.64561
GJ 3779,GJ 3779 b,2018,8,2.75,0.27,0.28,13.75,3.0232
GJ 3942,GJ 3942 b,2017,7.14,2.57,0.63,0.61,16.94,6.905
GJ 3998,GJ 3998 b,2016,2.47,1.38,0.5,0.49,18.16,2.64977
GJ 3998,GJ 3998 c,2016,6.26,2.38,0.5,0.49,18.16,13.74
GJ 411,GJ 411 b,2019,2.99,1.54,0.39,0.39,2.55,12.9532
GJ 422,GJ 422 b,2014,9.9,3.12,0.35,0.38,12.67,26.161
GJ 4276,GJ 4276 b,2019,16.57,4.22,0.41,0.41,21.35,13.352
GJ 433,GJ 433 b,2011,5.3,2.16,0.48,0.5,9.07,7.3697
GJ 433,GJ 433 c,2014,45,7.61,0.48,0.5,9.07,3400
GJ 436,GJ 436 b,2004,22.1,4.17,0.47,0.46,9.76,2.64388312
GJ 504,GJ 504 b,2013,1271.3,13,1.22,1.26,17.54,
GJ 536,GJ 536 b,2016,5.36,2.17,0.52,0.5,10.41,8.7076
GJ 581,GJ 581 b,2005,15.8,4.11,0.31,0.29,6.3,5.3686
GJ 581,GJ 581 c,2007,5.5,2.21,0.31,0.29,6.3,12.914
GJ 581,GJ 581 e,2009,1.7,1.17,0.31,0.29,6.3,3.149
GJ 625,GJ 625 b,2017,2.82,1.49,0.3,0.31,6.49,14.628
GJ 649,GJ 649 b,2009,104.244,12.5,0.54,0.46,10.38,598.3
GJ 667 C,GJ 667 C b,2011,5.6,2.23,0.33,,6.8,7.2004
GJ 667 C,GJ 667 C c,2011,3.8,1.77,0.33,,6.8,28.14
GJ 667 C,GJ 667 C e,2013,2.7,1.45,0.33,,6.8,62.24
GJ 667 C,GJ 667 C f,2013,2.7,1.45,0.33,,6.8,39.026
GJ 667 C,GJ 667 C g,2013,4.6,1.99,0.33,,6.8,256.2
GJ 674,GJ 674 b,2007,11.09,3.33,0.35,0.36,4.55,4.6938
GJ 676 A,GJ 676 A b,2010,2129.461,12.7,0.73,0.69,16.03,1056.80005
GJ 676 A,GJ 676 A c,2016,2161.244,12.7,0.73,0.69,16.03,7337
GJ 676 A,GJ 676 A d,2012,4.4,1.93,0.73,0.69,16.03,3.6005
GJ 676 A,GJ 676 A e,2012,8.1,2.77,0.73,0.69,16.03,35.39
GJ 682,GJ 682 b,2014,4.4,1.93,0.27,0.34,5.01,17.478
GJ 682,GJ 682 c,2014,8.7,2.89,0.27,0.34,5.01,57.32
GJ 685,GJ 685 b,2019,9,2.95,0.55,0.54,14.32,24.16
GJ 687,GJ 687 b,2014,19.0698,4.59,0.45,0.43,4.55,38.14
GJ 832,GJ 832 b,2008,216,14,0.45,0.45,4.97,3657
GJ 832,GJ 832 c,2014,5.4,2.18,0.45,0.45,4.97,35.68
GJ 849,GJ 849 b,2006,317.83,13.8,0.65,0.53,8.8,1882
GJ 86,GJ 86 b,1999,1404.8086,12.9,0.93,0.77,10.79,15.76491
GJ 876,GJ 876 b,1998,723.2235,13.3,0.32,0.3,4.68,61.1166
GJ 876,GJ 876 c,2000,226.9846,14,0.32,0.3,4.68,30.0881
GJ 876,GJ 876 d,2005,6.83,2.51,0.32,0.3,4.68,1.93778
GJ 876,GJ 876 e,2010,14.6,3.92,0.32,0.3,4.68,124.26
GJ 96,GJ 96 b,2018,19.66,4.67,0.6,0.59,11.94,73.94
GJ 9827,GJ 9827 b,2017,4.91,1.577,0.61,0.6,29.69,1.2089819
GJ 9827,GJ 9827 c,2017,0.84,1.241,0.61,0.6,29.69,3.6480957
GJ 9827,GJ 9827 d,2017,4.04,2.022,0.61,0.6,29.69,6.2014698
GQ Lup,GQ Lup b,2004,6356,33.6,0.7,1.83,151.82,
GSC 06214-00210,GSC 06214-00210 b,2010,5000,20.176,0.9,0.74,145,
GU Psc,GU Psc b,2014,3591.3,14.179,0.33,,48,
Gl 378,Gl 378 b,2019,13.02,3.66,0.56,0.56,14.96,3.822
Gl 49,Gl 49 b,2019,5.63,2.24,0.52,0.51,9.86,13.8508
Gl 686,Gl 686 b,2018,6.64,2.46,0.42,0.42,8.16,15.5314
HAT-P-1,HAT-P-1 b,2006,166.86075,14.785,1.15,1.17,159.71,4.46529976
HAT-P-11,HAT-P-11 b,2008,26.69772,4.36,0.81,0.68,37.81,4.88780244
HAT-P-11,HAT-P-11 c,2018,507,13.5,0.81,0.68,37.81,3407
HAT-P-12,HAT-P-12 b,2009,67.059,10.749,0.73,0.7,142.5,3.2130598
HAT-P-13,HAT-P-13 b,2009,270.462,14.258,1.22,1.56,214,2.91625
HAT-P-13,HAT-P-13 c,2009,4538.421,12.3,1.22,1.56,214,446.27
HAT-P-14,HAT-P-14 b,2010,1093.3352,15.917,2.65,1.82,224.1,4.62767
