host_star_name,exoplanet_name,disc_year,earth_mass,earth_radii,solar_mass,solar_rad,dist_parsec,orbital_period
K2-15,K2-15 b,2015,6.71,2.48,0.72,0.68,501.03,11.8104
K2-150,K2-150 b,2018,4.66,2,0.46,0.44,110,10.59357
K2-151,K2-151 b,2018,2.83,1.49,0.47,0.45,69.61,3.835476
K2-152,K2-152 b,2018,5.86,2.29,0.63,0.61,108.7,32.6479
K2-153,K2-153 b,2018,4.66,2,0.55,0.53,143.6,7.51574
K2-154,K2-154 b,2018,4.62,1.99,0.65,0.63,129.8,3.67626
K2-154,K2-154 c,2018,4.94,2.07,0.65,0.63,129.8,7.95486
K2-155,K2-155 b,2018,3.89,1.8,0.65,0.58,82,6.342
K2-155,K2-155 c,2018,7.27,2.6,0.65,0.58,82,13.85
K2-155,K2-155 d,2018,4.27,1.9,0.65,0.58,82,40.718
K2-156,K2-156 b,2018,1.6,1.15,0.66,0.66,150.4,0.81314
K2-157,K2-157 b,2018,1.18,1.055,0.94,0.88,300.88,0.365257
K2-158,K2-158 b,2018,7.46,2.64,0.92,0.95,198.2,10.06049
K2-158,K2-158 c,2018,2.18,1.28,0.92,0.95,198.2,5.90279
K2-159,K2-159 b,2018,5.73,2.26,0.9,0.83,171.9,12.42205
K2-16,K2-16 b,2015,4.74,2.02,0.67,0.54,338.19,7.6188
K2-16,K2-16 c,2015,6.99,2.54,0.67,0.54,338.19,19.07863
K2-160,K2-160 b,2018,10.2,3.178,0.98,0.91,318.19,3.705871
K2-161,K2-161 b,2018,31.1,6.117,0.99,2.57,941.09,9.283188
K2-162,K2-162 b,2018,2.67,1.44,0.75,0.69,125.1,9.45889
K2-163,K2-163 b,2018,6.65,2.466,0.83,0.76,209.67,6.673117
K2-164,K2-164 b,2018,10.6,3.249,1.18,2.2,379.64,17.355066
K2-165,K2-165 b,2018,2.17,1.274,0.83,0.8,135.1,2.354992
K2-165,K2-165 c,2018,3.03,1.554,0.83,0.8,135.1,4.382745
K2-165,K2-165 d,2018,7.5,2.648,0.83,0.8,135.1,14.101361
K2-166,K2-166 b,2018,5.43,2.19,1.07,1.6,481,8.52695
K2-167,K2-167 b,2018,8.34,2.819,1.02,1.83,81.08,9.977481
K2-168,K2-168 b,2018,4.12,1.86,0.88,0.83,245.56,15.8523
K2-169,K2-169 b,2018,2.16,1.273,0.99,0.92,237.35,6.380803
K2-17,K2-17 b,2015,5.6,2.23,0.71,0.66,125.56,17.96753
K2-170,K2-170 b,2018,2.6,1.418,0.96,0.98,397.26,7.576544
K2-170,K2-170 c,2018,3.9,1.802,0.96,0.98,397.26,12.400047
K2-171,K2-171 b,2018,7.69,2.687,0.89,1.72,616.41,5.628466
K2-172,K2-172 b,2018,3.42,1.666,0.93,0.87,251.51,14.316941
K2-172,K2-172 c,2018,10.4,3.206,0.93,0.87,251.51,29.62682
K2-173,K2-173 b,2018,3.22,1.608,0.88,0.84,230.14,5.868699
K2-174,K2-174 b,2018,7.27,2.6,0.7,0.68,100.1,19.562307
K2-175,K2-175 b,2018,4.81,2.038,1.09,1.42,249.01,9.525988
K2-176,K2-176 b,2018,2.83,1.491,0.94,0.86,249.01,5.329439
K2-177,K2-177 b,2018,5.13,2.116,1.21,1.21,499.02,14.155185
K2-178,K2-178 b,2018,12.4,3.558,0.95,0.89,216.08,8.747818
K2-179,K2-179 b,2018,6.86,2.513,0.82,0.77,191.84,5.172191
K2-18,K2-18 b,2015,8.92,2.37,0.36,0.41,38.07,32.939623
K2-18,K2-18 c,2017,7.51,2.65,0.36,0.41,38.07,8.962
K2-180,K2-180 b,2018,5.95,2.31,0.72,0.72,204.51,8.867209
K2-181,K2-181 b,2018,8.45,2.84,0.99,1.07,364.82,6.894256
K2-182,K2-182 b,2018,8.05,2.76,0.88,0.8,155.9,4.736837
K2-183,K2-183 b,2018,7.27,2.599,0.93,0.97,331.77,0.469269
K2-183,K2-183 c,2018,8.6,2.87,0.93,0.97,331.77,10.792635
K2-183,K2-183 d,2018,8.55,2.86,0.93,0.97,331.77,22.631964
K2-184,K2-184 b,2018,3.02,1.55,0.86,0.78,75.79,16.995731
K2-185,K2-185 b,2018,2.28,1.313,0.98,0.91,270.41,10.616646
K2-186,K2-186 b,2018,10.2,3.172,1.02,0.98,333.84,41.474219
K2-187,K2-187 b,2018,2.24,1.3,0.98,0.92,333.51,0.77392
K2-187,K2-187 c,2018,3.89,1.8,0.98,0.92,333.51,2.872042
K2-187,K2-187 d,2018,10.2,3.17,0.98,0.92,333.51,7.14921
K2-187,K2-187 e,2018,6.26,2.38,0.98,0.92,333.51,13.609878
K2-188,K2-188 b,2018,2.39,1.35,1.06,1.19,452.9,1.742169
K2-188,K2-188 c,2018,8.4,2.83,1.06,1.19,452.9,7.810253
K2-189,K2-189 b,2018,2.92,1.52,0.94,0.87,243.93,2.588309
K2-189,K2-189 c,2018,6.8,2.5,0.94,0.87,243.93,6.679195
K2-19,K2-19 b,2015,28.5,7.74,0.93,0.86,292.14,7.9194
K2-19,K2-19 c,2015,15.9,4.86,0.93,0.86,292.14,11.90715
K2-19,K2-19 d,2016,14,1.14,0.93,0.86,292.14,2.50856
K2-190,K2-190 b,2018,2.41,1.357,0.9,0.91,161.42,10.098858
K2-190,K2-190 c,2018,1.34,1.093,0.9,0.91,161.42,21.574023
K2-191,K2-191 b,2018,3.12,1.579,0.9,0.84,289.57,2.858646
K2-192,K2-192 b,2018,2.92,1.52,0.9,0.81,223.99,4.162817
K2-193,K2-193 b,2018,14.8,3.95,1.01,0.98,416.91,14.786889
K2-194,K2-194 b,2018,12.9,3.642,1.11,1.28,640.65,39.721386
K2-195,K2-195 b,2018,9.96,3.13,0.94,0.99,317.83,15.852975
K2-195,K2-195 c,2018,7.16,2.576,0.94,0.99,317.83,28.482786
K2-196,K2-196 b,2018,12.6,3.6,1.16,1.54,594.09,48.324222
K2-197,K2-197 b,2018,7.08,2.56,1,0.93,249.59,8.357881
K2-198,K2-198 b,2018,16.3,4.189,0.8,0.76,110.91,17.0428683
K2-198,K2-198 c,2019,2.61,1.423,0.8,0.76,110.91,3.3596055
K2-198,K2-198 d,2019,6.52,2.438,0.8,0.76,110.91,7.4500177
K2-199,K2-199 b,2018,4.16,1.87,0.73,0.68,107.97,3.225338
K2-199,K2-199 c,2018,8.15,2.78,0.73,0.68,107.97,7.374694
K2-200,K2-200 b,2018,2.43,1.364,0.86,0.79,185.09,2.849883
K2-201,K2-201 b,2018,2.54,1.4,0.96,0.88,199.05,1.05979
K2-201,K2-201 c,2018,10.8,3.286,0.96,0.88,199.05,22.779878
K2-202,K2-202 b,2018,5.91,2.302,0.97,0.91,302.99,3.405164
K2-203,K2-203 b,2018,2.45,1.371,0.79,0.76,166.93,9.695101
K2-204,K2-204 b,2018,9.51,3.046,1.01,1.18,586.87,7.055784
K2-205,K2-205 b,2018,4.64,1.996,0.95,1.08,409.95,26.672263
K2-206,K2-206 b,2018,8.22,2.795,0.79,0.76,246.14,18.294549
K2-207,K2-207 b,2018,7.3,2.606,0.94,0.93,366.84,12.48749
K2-208,K2-208 b,2018,3.46,1.679,0.93,0.86,258.76,4.190948
K2-209,K2-209 b,2018,0.586,0.869,0.74,0.71,76.67,2.080615
K2-21,K2-21 b,2015,4.04,1.84,0.68,0.65,83.85,9.325038
K2-21,K2-21 c,2015,6.76,2.49,0.68,0.65,83.85,15.50192
K2-210,K2-210 b,2018,0.474,0.819,0.91,0.85,177.39,0.570233
K2-211,K2-211 b,2018,2.46,1.375,0.88,0.82,274.39,0.669558
K2-212,K2-212 b,2018,6.9,2.52,0.67,0.65,109.32,9.79551
K2-213,K2-213 b,2018,2.9,1.514,1.07,1.2,394.05,8.13087
K2-214,K2-214 b,2018,6.48,2.43,1.05,1.27,303.28,8.596802
K2-215,K2-215 b,2018,5.16,2.124,1,0.97,408.67,8.269648
K2-216,K2-216 b,2018,8,1.75,0.7,0.72,115.84,2.1748
K2-217,K2-217 b,2018,12.5,3.579,1.1,1.33,386.01,14.074524
K2-218,K2-218 b,2018,7.13,2.569,1.05,1.01,398.41,8.679885
K2-219,K2-219 b,2018,2.38,1.348,1.02,1.19,328.42,3.901287
K2-219,K2-219 c,2018,2.66,1.438,1.02,1.19,328.42,6.66767
K2-219,K2-219 d,2018,7.16,2.576,1.02,1.19,328.42,11.137278
K2-22,K2-22 b,2015,444.962,2.5,0.6,0.57,245.53,0.381078
K2-220,K2-220 b,2018,6.3,2.39,0.96,1.02,234.92,13.683256
K2-221,K2-221 b,2018,3.46,1.679,1.01,0.95,321.63,2.399094
K2-222,K2-222 b,2018,6.3,2.39,1,1.09,101.59,15.387063
K2-223,K2-223 b,2018,0.64,0.89,1.06,0.99,201.1,0.50565
K2-223,K2-223 c,2018,3.09,1.57,1.06,0.99,201.1,4.56327
K2-224,K2-224 b,2018,3.05,1.56,0.91,0.84,277.7,4.47904
K2-224,K2-224 c,2018,6.39,2.41,0.91,0.84,277.7,10.09489
K2-225,K2-225 b,2018,12,3.49,1.27,1.7,360.3,15.87209
K2-226,K2-226 b,2018,2.99,1.54,0.88,0.91,211.2,3.27108
K2-227,K2-227 b,2018,3.41,1.666,0.95,0.89,188.22,13.621832
K2-228,K2-228 b,2018,1.92,1.21,0.71,0.65,142.4,2.69828
K2-229,K2-229 b,2018,2.49,1.14,0.87,0.79,103.8,0.58426
K2-229,K2-229 c,2018,21.3,2.03,0.87,0.79,103.8,8.32727
K2-230,K2-230 b,2018,4.5,1.96,1.11,1.39,548.9,2.86041
K2-231,K2-231 b,2018,6.8,2.5,1.01,0.95,295,13.841901
K2-232,K2-232 b,2018,126.49634,11.209,1.19,1.16,131.21,11.168454
K2-233,K2-233 b,2018,2.54,1.398,0.8,0.74,67.64,2.46746
K2-233,K2-233 c,2018,2.34,1.335,0.8,0.74,67.64,7.06142
K2-233,K2-233 d,2018,7.46,2.64,0.8,0.74,67.64,24.3662
K2-237,K2-237 b,2018,392.83788,18.405,1.23,1.38,309.5,2.1805577
K2-238,K2-238 b,2018,273.3338,14.572,1.19,1.59,453,3.20466
K2-239,K2-239 b,2018,1.37,1.1,0.4,0.36,49,5.24
K2-239,K2-239 c,2018,0.972,1,0.4,0.36,49,7.775
K2-239,K2-239 d,2018,1.37,1.1,0.4,0.36,49,10.115
K2-24,K2-24 b,2016,19,5.4,1.07,1.16,171.39,20.88977
K2-24,K2-24 c,2016,15.4,7.5,1.07,1.16,171.39,42.3391
K2-240,K2-240 b,2018,4.66,2,0.58,0.54,70,6.034
K2-240,K2-240 c,2018,3.89,1.8,0.58,0.54,70,20.523
K2-241,K2-241 b,2018,7.04,2.55,0.71,0.75,149.6,26.8199
K2-242,K2-242 b,2018,6.99,2.54,0.38,0.37,109.6,6.51389
K2-243,K2-243 b,2018,5.35,2.17,1.29,1.39,269.2,11.54182
K2-243,K2-243 c,2018,4.7,2.01,1.29,1.39,269.2,24.94598
K2-244,K2-244 b,2018,3.71,1.75,0.86,0.92,214,21.06884
K2-245,K2-245 b,2018,17.4,4.34,0.83,1.25,463.4,11.89307
K2-246,K2-246 b,2018,12,3.49,0.87,0.94,723.1,5.76918
K2-247,K2-247 b,2018,5.14,2.12,0.74,0.69,260.2,2.25021
K2-247,K2-247 c,2018,5.43,2.19,0.74,0.69,260.2,6.49424
K2-248,K2-248 b,2018,7.13,2.57,0.88,0.92,410.5,7.17256
K2-249,K2-249 b,2018,8.2,2.79,1.32,1.57,528.3,12.409
K2-25,K2-25 b,2015,11.6,3.43,0.29,0.29,45.01,3.484552
K2-250,K2-250 b,2018,6.53,2.44,0.8,0.81,417.6,4.01457
K2-251,K2-251 b,2018,6.12,2.35,0.52,0.49,147.7,9.30075
K2-252,K2-252 b,2018,3.68,1.74,0.79,0.82,229.9,13.81513
K2-253,K2-253 b,2018,,12.67,1.08,1.1,901.8,4.00167
K2-254,K2-254 b,2018,3.29,1.63,0.71,0.67,229.4,4.09639
K2-254,K2-254 c,2018,5.43,2.19,0.71,0.67,229.4,12.11839
K2-255,K2-255 b,2018,8.75,2.9,0.71,0.69,192.4,1.96417
K2-256,K2-256 b,2018,7.41,2.63,0.84,0.78,580.5,5.52011
K2-257,K2-257 b,2018,0.498,0.83,0.52,0.5,64.1,1.60588
K2-258,K2-258 b,2018,9.27,3,1.21,1.31,675.2,19.0921
K2-259,K2-259 b,2018,5.99,2.32,1.14,1.13,422.1,15.48043
K2-26,K2-26 b,2016,7.61,2.67,0.56,0.52,99.33,14.5665
K2-260,K2-260 b,2018,451.3186,17.396,1.39,1.69,676.32,2.6266657
K2-261,K2-261 b,2018,70.87609,9.528,1.1,1.65,214.58,11.63344
K2-263,K2-263 b,2018,14.8,2.41,0.88,0.85,163.23,50.818947
K2-264,K2-264 b,2018,5.61,2.231,0.5,0.47,187,5.840002
K2-264,K2-264 c,2018,7.6,2.668,0.5,0.47,187,19.660302
K2-265,K2-265 b,2018,6.54,1.71,0.92,0.98,139.22,2.369172
K2-266,K2-266 b,2018,11.26782,3.3,0.69,0.7,77.16,0.658524
K2-266,K2-266 c,2018,0.29013,0.705,0.69,0.7,77.16,7.814
K2-266,K2-266 d,2018,8.9,2.93,0.69,0.7,77.16,14.697
K2-266,K2-266 e,2018,14.3,2.73,0.69,0.7,77.16,19.482
K2-268,K2-268 b,2018,2.57,1.41,0.84,0.78,331.46,2.151894
K2-268,K2-268 c,2018,7.7,2.69,0.84,0.78,331.46,9.326841
K2-269,K2-269 b,2018,3.09,1.57,1.16,1.45,362.07,4.144965
K2-27,K2-27 b,2016,30.9,4.48,0.87,0.89,251.43,6.771315
K2-270,K2-270 b,2018,2.48,1.38,0.85,0.77,283.53,1.543069
K2-270,K2-270 c,2018,9.01,2.95,0.85,0.77,283.53,4.400028
K2-271,K2-271 b,2018,41.8,7.28,0.83,0.99,571.47,8.562421
K2-272,K2-272 b,2018,8.8,2.91,0.81,0.81,426.57,14.453533
K2-273,K2-273 b,2018,17.9,4.42,0.9,0.84,310.6,11.716332
K2-274,K2-274 b,2018,5.48,2.2,0.81,0.74,232.82,14.129714
K2-275,K2-275 b,2018,5.65,2.24,0.79,0.73,124.09,3.280961
K2-275,K2-275 c,2018,6.08,2.34,0.79,0.73,124.09,8.438756
K2-276,K2-276 b,2018,13.7,3.77,0.82,0.85,489.88,18.718269
K2-277,K2-277 b,2018,4.94,2.07,1.02,0.97,113.53,6.326763
K2-278,K2-278 b,2018,9.17,2.98,1.4,1.61,804.13,3.334966
K2-279,K2-279 b,2018,1.92,1.21,0.79,0.86,183.8,7.122605
K2-28,K2-28 b,2016,5.99,2.32,0.26,0.29,63.11,2.260455
K2-280,K2-280 b,2018,45.6,7.67,1.11,1.28,396.9,19.895202
K2-281,K2-281 b,2018,50.9,8.18,0.82,0.76,466.11,8.687721
K2-282,K2-282 b,2018,8.35,2.82,0.94,0.94,502.28,4.169836
K2-283,K2-283 b,2018,12.2,3.52,0.89,0.82,408.24,1.921036
K2-284,K2-284 b,2018,8.15,2.78,0.63,0.61,107.6,4.795069
K2-285,K2-285 b,2018,9.68,2.59,0.83,0.79,155.65,3.471745
K2-285,K2-285 c,2018,15.68,3.53,0.83,0.79,155.65,7.138048
K2-285,K2-285 d,2018,6.5,2.48,0.83,0.79,155.65,10.45582
K2-285,K2-285 e,2018,10.7,1.95,0.83,0.79,155.65,14.76289
K2-286,K2-286 b,2018,5.06,2.1,0.64,0.62,76.32,27.359
K2-287,K2-287 b,2018,100.11645,9.494,1.06,1.07,159.05,14.893291
K2-288 B,K2-288 B b,2018,4.27,1.9,0.33,0.32,65.72,31.393463
K2-289,K2-289 b,2019,61,9.1,0.95,1.02,270.7,13.156969
K2-29,K2-29 b,2016,232.0159,13.339,0.94,0.86,179.39,3.2588321
K2-290,K2-290 b,2019,10.9,3.06,1.19,1.51,274.99,9.21165
K2-290,K2-290 c,2019,246.00042,11.276,1.19,1.51,274.99,48.36685
K2-291,K2-291 b,2019,6.49,1.589,0.93,0.9,90.29,2.225177
K2-293,K2-293 b,2019,6.57,2.45,0.96,0.95,396.64,13.1225
K2-294,K2-294 b,2019,3.39,1.66,0.99,1.2,377.04,2.50387
K2-295,K2-295 b,2018,106.47305,10.054,0.74,0.7,225.7,4.024867
K2-3,K2-3 b,2015,8.1,2.18,0.6,0.56,44.13,10.05449
K2-3,K2-3 c,2015,2.1,1.85,0.6,0.56,44.13,24.64354
K2-3,K2-3 d,2015,7.5,1.51,0.6,0.56,44.13,44.55983
K2-30,K2-30 b,2016,184.02357,11.646,0.9,0.84,336.26,4.098503
K2-308,K2-308 b,2019,70.6,9.916,1.09,1.24,,3.38628
K2-31,K2-31 b,2016,563.83042,11.882,0.91,0.78,110.87,1.25785
K2-32,K2-32 b,2016,16.5,4.96,0.86,0.84,158.39,8.991828
K2-32,K2-32 c,2016,12.1,2.74,0.86,0.84,158.39,20.66186
K2-32,K2-32 d,2016,10.3,3.27,0.86,0.84,158.39,31.7142
K2-32,K2-32 e,2019,1.01,1.01,0.86,0.84,158.39,4.34882
K2-33,K2-33 b,2016,1175.971,5.04,0.56,1.05,139.8,5.424865
K2-34,K2-34 b,2016,539.67534,13.96,1.15,1.44,352.34,2.995633
K2-35,K2-35 b,2016,4.38,1.93,0.7,0.62,254.43,5.608352
K2-35,K2-35 c,2016,2.3,1.32,0.7,0.62,254.43,2.399964
K2-36,K2-36 b,2016,3.9,1.43,0.79,0.72,110.09,1.422614
K2-36,K2-36 c,2016,7.8,3.2,0.79,0.72,110.09,5.340888
K2-37,K2-37 b,2016,3.22,1.61,0.9,0.85,180.86,4.44117
K2-37,K2-37 c,2016,8,2.75,0.9,0.85,180.86,6.42904
K2-37,K2-37 d,2016,7.9,2.73,0.9,0.85,180.86,14.09189
K2-38,K2-38 b,2016,19.0698,1.906,2.24,1.38,193.71,4.01593
K2-38,K2-38 c,2016,9.9,2.42,2.24,1.38,193.71,10.56103
K2-39,K2-39 b,2016,28.6047,6.277,0.66,2.97,310.14,4.60543
K2-4,K2-4 b,2015,5.06,2.1,0.64,0.57,233.37,10.003417
K2-42,K2-42 b,2016,5.27,2.15,0.7,0.64,401.36,6.68796
K2-43,K2-43 b,2016,18.5,4.51,0.57,0.54,183.48,3.471149
K2-43,K2-43 c,2019,6.44,2.42,0.57,0.54,183.48,2.198884
K2-44,K2-44 b,2016,7.85,2.72,1.15,1.58,483.19,5.65688
K2-45,K2-45 b,2016,36.4,6.71,0.5,0.45,502.34,1.7292684
K2-46,K2-46 b,2016,4.86,2.05,0.96,1.29,454.93,19.1541
K2-47,K2-47 b,2016,4.23,1.89,0.75,0.76,353.38,31.6372
K2-48,K2-48 b,2016,5.65,2.24,0.77,0.73,316.61,20.5065
K2-49,K2-49 b,2016,4.38,1.93,0.51,0.45,463.06,2.77065
K2-5,K2-5 b,2015,4.31,1.91,0.61,0.57,204.12,5.73594
K2-5,K2-5 c,2015,5.73,2.26,0.61,0.57,204.12,10.93241
K2-50,K2-50 b,2016,3.15,1.59,0.61,0.63,259.33,8.7529
K2-52,K2-52 b,2016,45700,18,1.69,2.19,1041.7,3.535055
K2-53,K2-53 b,2016,7.27,2.6,0.85,0.81,139.1,12.20772
K2-54,K2-54 b,2016,1.6,1.15,0.42,0.38,175.84,9.7843
K2-55,K2-55 b,2016,14,3.82,0.7,0.63,160.26,2.849258
K2-57,K2-57 b,2016,5.06,2.1,0.68,0.62,266.23,9.0063
K2-58,K2-58 b,2016,7.65,2.68,0.89,0.86,182.69,7.05254
K2-58,K2-58 c,2016,3.26,1.62,0.89,0.86,182.69,2.53726
K2-58,K2-58 d,2016,3.57,1.71,0.89,0.86,182.69,22.8827
K2-59,K2-59 b,2016,6.39,2.41,0.77,0.73,314.09,20.6921
K2-59,K2-59 c,2016,5.9,2.3,0.77,0.73,314.09,11.2954
K2-6,K2-6 b,2015,6.8,2.5,0.97,0.96,319.59,30.94191
K2-60,K2-60 b,2016,135.39558,7.656,0.97,1.12,498.7,3.00265
K2-61,K2-61 b,2016,6.71,2.48,1.21,1.36,410.35,2.57302
K2-62,K2-62 b,2016,5.22,2.14,0.77,0.73,112.83,6.67202
K2-62,K2-62 c,2016,5.22,2.14,0.77,0.73,112.83,16.1966
K2-63,K2-63 b,2016,10.5,3.22,1.4,1.63,524.41,20.257
K2-63,K2-63 c,2016,14.5,3.9,1.4,1.63,524.41,25.4556
K2-64,K2-64 b,2016,4.94,2.07,0.74,0.73,506.87,6.53044
K2-65,K2-65 b,2016,3.12,1.58,0.87,0.84,78.06,12.6475
K2-66,K2-66 b,2016,21.3,2.49,1.11,1.67,520.43,5.06963
K2-68,K2-68 b,2016,3.12,1.58,0.73,0.68,169.47,8.05428
K2-69,K2-69 b,2016,5.99,2.32,0.55,0.49,181.63,7.06599
K2-7,K2-7 b,2015,7.61,2.67,0.97,0.96,754.64,28.67992
K2-70,K2-70 b,2016,8.7,2.89,0.94,0.93,234.47,13.97896
K2-71,K2-71 b,2016,5.27,2.15,0.48,0.43,153.86,6.98541
K2-72,K2-72 b,2016,1.28,1.08,0.27,0.33,66.56,5.577212
K2-72,K2-72 c,2016,1.65,1.16,0.27,0.33,66.56,15.189034
K2-72,K2-72 d,2016,1.01,1.01,0.27,0.33,66.56,7.760178
K2-72,K2-72 e,2016,2.21,1.29,0.27,0.33,66.56,24.158868
K2-73,K2-73 b,2016,6.57,2.45,1.05,1.06,271.27,7.49543
K2-74,K2-74 b,2016,5.95,2.31,0.96,0.98,381.85,19.5666
K2-75,K2-75 b,2016,7.61,2.67,1.16,1.56,570.86,7.8142
K2-75,K2-75 c,2016,8.1,2.77,1.16,1.56,570.86,18.311
K2-77,K2-77 b,2016,603.877,2.3,0.8,0.76,142.31,8.199796
K2-79,K2-79 b,2016,13.2,3.69,1.06,1.28,257.9,10.99573
K2-8,K2-8 b,2015,12.5,3.58,0.78,0.74,407.93,10.35239
K2-8,K2-8 c,2016,6.39,2.41,0.78,0.74,407.93,5.06416
K2-80,K2-80 b,2016,4.7,2.01,0.9,0.87,201.96,19.0918
K2-80,K2-80 c,2016,2.76,1.47,0.9,0.87,201.96,5.605
K2-80,K2-80 d,2018,7.04,2.552,0.9,0.87,201.96,28.867253
K2-81,K2-81 b,2016,4.54,1.97,0.75,0.63,254.14,6.102325
K2-83,K2-83 b,2016,2.08,1.244,0.48,0.42,125.98,2.74697
K2-83,K2-83 c,2016,2.8,1.483,0.48,0.42,125.98,9.99767
K2-84,K2-84 b,2016,6.39,2.41,0.95,0.93,287.23,6.4215
K2-84,K2-84 c,2016,4.78,2.03,0.95,0.93,287.23,27.86
K2-85,K2-85 b,2016,1.01,1.01,0.57,0.51,97.49,0.684533
K2-86,K2-86 b,2016,4.5,1.96,0.79,0.76,260.61,8.77683
K2-87,K2-87 b,2016,44.9,7.6,1.16,1.4,503.6,9.726618
K2-88,K2-88 b,2016,2.04,1.23,0.26,0.26,110.91,4.6122
K2-89,K2-89 b,2016,0.17,0.615,0.35,0.32,86.25,1.096026
K2-9,K2-9 b,2015,5.69,2.25,0.3,0.31,83.16,18.4498
K2-90,K2-90 b,2016,7.27,2.6,0.63,0.62,134.9,13.733314
K2-90,K2-90 c,2016,2.24,1.3,0.63,0.62,134.9,2.900706
K2-91,K2-91 b,2016,1.37,1.1,0.29,0.28,62.69,1.419549
K2-95,K2-95 b,2016,14.3,3.88,0.44,0.42,180.63,10.134016
K2-97,K2-97 b,2016,152.5584,10.61,1.2,4.47,869.76,8.406726
K2-98,K2-98 b,2016,32.2,5.2,1.2,1.57,526.31,10.136448
K2-99,K2-99 b,2016,308.2951,11.73,1.63,2.63,522.29,18.251985
KELT-1,KELT-1 b,2012,8654.15,12.442,1.32,1.46,262,1.217514
KELT-10,KELT-10 b,2016,215.80657,15.681,1.11,1.21,183,4.1662739
KELT-11,KELT-11 b,2017,54.34893,15.132,1.44,2.69,99.44,4.7361
KELT-12,KELT-12 b,2017,301.9385,19.952,1.59,2.37,360,5.031623
KELT-14,KELT-14 b,2016,408.09372,19.537,1.24,1.52,266,1.7100566
KELT-15,KELT-15 b,2016,416.3573,19.504,2.06,1.78,327.74,3.32944
KELT-16,KELT-16 b,2017,874.0325,15.861,1.21,1.36,450.28,0.9689951
KELT-17,KELT-17 b,2016,416.3573,17.094,1.64,1.65,210,3.0801716
KELT-18,KELT-18 b,2017,375.0394,17.598,1.52,1.91,311,2.8717518
KELT-19 A,KELT-19 A b,2017,1293.5681,21.409,1.62,1.83,302.8,4.6117093
KELT-2 A,KELT-2 A b,2012,540.311,15.132,1.54,1.93,134.57,4.11379
KELT-20,KELT-20 b,2017,1074.90106,19.515,1.76,1.56,139.7,3.4741085
KELT-21,KELT-21 b,2018,1242.7153,17.777,1.46,1.64,415,3.6127647
KELT-23 A,KELT-23 A b,2019,298.12454,14.83,0.94,1,125.42,2.255251
KELT-24,KELT-24 b,2019,1646.3594,14.258,1.46,1.51,96.03,5.5514926
KELT-3,KELT-3 b,2013,616.5902,17.486,1.96,1.7,211.35,2.70339
KELT-4 A,KELT-4 A b,2016,286.68266,19.044,1.2,1.6,210,2.9895932
KELT-6,KELT-6 b,2014,165.2716,14.572,1.42,1.73,242.39,7.8457
KELT-6,KELT-6 c,2015,1179.1493,13,1.42,1.73,242.39,1276
KELT-7,KELT-7 b,2015,441.7837,17.934,1.76,1.81,137.21,2.73477
KELT-8,KELT-8 b,2015,209.7678,18.159,0.81,1.46,198.7,3.24406
KELT-9,KELT-9 b,2017,915.3504,21.196,2.52,2.36,205.65,1.4811235
KIC 10001893,KIC 10001893 b,2014,,,,2.58,1758.47,0.2197
KIC 10001893,KIC 10001893 c,2014,,,,2.58,1758.47,0.32528
KIC 10001893,KIC 10001893 d,2014,,,,2.58,1758.47,0.81161
KIC 10525077,KIC 10525077 b,2015,25.9,5.5,1.01,1.01,1525.31,854.083
KIC 3558849,KIC 3558849 b,2015,38.1,6.9,0.98,1.01,1258.75,1322.3
KIC 5095269,KIC 5095269 b,2017,2445.06619,12.6,1.21,1.81,1230.6,237.68977
KIC 5437945,KIC 5437945 b,2015,33.6,6.4,1.07,1.24,1322.48,440.7813
KIC 5951458,KIC 5951458 b,2015,35.4,6.6,0.98,1.52,758.78,1320.1
KIC 7917485,KIC 7917485 b,2016,3750.394,12.4,1.63,2.01,1439.31,840
KOI-7892,KIC 8540376 b,2015,15.8,4.1,1.04,1.26,1106.37,31.8099
KOI-7892,KIC 8540376 c,2015,6.35,2.4,1.04,1.26,1106.37,75.2
KIC 9663113,KIC 9663113 b,2015,19.2,4.6,0.98,1.03,1670.88,572.3847
KMT-2016-BLG-0212L,KMT-2016-BLG-0212L b,2018,5720.94,12.2,0.48,,6300,
KMT-2016-BLG-1107L,KMT-2016-BLG-1107L b,2019,1043.43589,13.1,0.09,,6651,
KMT-2016-BLG-1397L,KMT-2016-BLG-1397L b,2018,2224.81,12.7,0.45,,6600,
KMT-2016-BLG-1820L,KMT-2016-BLG-1820L b,2018,1452.4831,12.9,0.04,,6260,
KMT-2016-BLG-2142L,KMT-2016-BLG-2142L b,2018,4923.1867,12.2,0.07,,7010,
KMT-2017-BLG-0165L,KMT-2017-BLG-0165L b,2018,34,6.45,0.76,,4530,
KMT-2017-BLG-1038L,KMT-2017-BLG-1038L b,2019,635.66,13.4,0.37,,6000,
KMT-2017-BLG-1146L,KMT-2017-BLG-1146L b,2019,225.6593,14,0.33,,6500,
KMT-2018-BLG-1990L,KMT-2018-BLG-1990L b,2019,110.60484,12.9,0.09,,967,
KOI-12,KOI-12 b,2015,349.613,13.787,1.5,1.4,403.99,17.855182
KOI-1257,KOI-1257 b,2014,460.83,10.54,0.99,1.13,900,86.647661
KOI-13,KOI-13 b,2011,2949.4624,16.948,1.72,1.74,415,1.763588
KOI-142,KOI-142 b,2013,8.7,3.78,0.96,0.88,339,10.95416
